word,phonetic,pos,meaning,example,example_trans,image_url
talent,ˈtælənt,n.,n. 天赋，才能；人才，有才能的人；天资，才华,,,
target,ˈtɑːɡɪt,n.,n. 目标，靶子；目的，对象；v. 把...作为目标，瞄准；针对，面向,,,
taste,teɪst,n.,n. 味道，滋味；品味，鉴赏力；爱好，倾向；v. 品尝，尝；体验，经历,,,
technical,ˈteknɪkl,adj.,adj. 技术的；专业的；工艺的；专门的；专业性的；技术性的；专业术语的,,,
technician,tekˈnɪʃn,n.,n. 技术员，技师,,,
technique,tekˈniːk,n.,n. 技巧，技术，方法；技法，技艺；技术性操作,,,
technology,tekˈnɒlədʒi,n.,n. 技术，科技；技术学，工艺学；（某种）技术,,,
tech,tek,n.,n. 技术；科技；adj. 技术的；科技的,,,
teenager,ˈtiːneɪdʒə(r),n.,n. 青少年，十几岁的人,,,
temper,ˈtempə(r),n.,n. 脾气，性情；心情，情绪；韧度，回火度（金属）；v. 调和，缓和；使回火（金属）,,,
temperature,ˈtemprətʃə(r),n.,n. 温度，体温；气温，温度；情绪，氛围,,,
temporal,ˈtempərəl,adj.,adj. 时间的，暂时的；世俗的，尘世的；太阳穴的,,,
temporary,ˈtempərəri,adj.,adj. 暂时的，临时的；短暂的，暂时的；临时的，暂代的,,,
tempt,tempt,v.,v. 诱惑，引诱；吸引，使感兴趣；使想要，使忍不住,,,
temptation,tempˈteɪʃn,n.,n. 诱惑，引诱；诱惑物，诱人的事物,,,
tend,tend,v.,v. 倾向于，易于；照料，照顾；负责，管理,,,
tendency,ˈtendənsi,n.,n. 倾向，趋势；倾向性，偏好；趋势，动向,,,
tentative,ˈtentətɪv,adj.,adj. 试探性的，暂定的；不确定的，犹豫的,,,
term,tɜːm,n.,n. 学期；术语，专门用语；期限，期间；条款，条件；任期；v. 把...称为，把...叫做,,,
terminal,ˈtɜːmɪnl,n.,n. 终点站，末端；终端机，计算机终端；航站楼，客运站；电线接头，端子；adj. 终点的，末端的；晚期的，不治的；终端的，最后的,,,
terminate,ˈtɜːmɪneɪt,v.,v. 结束，终止；解雇，终止（合同等）,,,
testify,ˈtestɪfaɪ,v.,v. 作证，证明；证实，表明,,,
trace,treɪs,n.,n. 痕迹，踪迹；微量；描绘，轮廓；v. 追踪，追溯；描绘，勾画；探索，查究,,,
track,træk,n.,n. 轨道；跑道；小径；足迹；踪迹；车辙；音轨；歌曲；曲目；v. 追踪；跟踪；监测；记录,,,
tradition,trəˈdɪʃn,n.,n. 传统，习俗；传统观念，传统做法；惯例，常规,,,
ultimate,ˈʌltɪmət,adj.,adj. 最终的，最后的；最重要的，根本的；最好的，极致的；n. 最终目标，极致,,,
underestimate,ˌʌndərˈestɪmeɪt,v.,v. 低估，对...估计不足；n. 低估，对...估计不足,,,
undergo,ˌʌndəˈɡəʊ,v.,v. 经历，经受；接受（治疗等）；经历（变化等）,,,
underlie,ˌʌndəˈlaɪ,v.,v. 构成...的基础；成为...的原因；位于...之下,,,
underlying,ˌʌndəˈlaɪɪŋ,adj.,adj. 潜在的，深层的，根本的；基本的，基础的，作为基础的,,,
underline,ˈʌndəlaɪn,v.,v. 在...下面划线，强调；n. 下划线,,,
understand,ˌʌndəˈstænd,v.,v. 理解，懂得；明白，了解；得知，获悉；推断，认为；同情，体谅；意会，领会,,,
understanding,ˌʌndəˈstændɪŋ,n.,n. 理解，领悟；谅解，同情；协议，默契；adj. 善解人意的，体谅的,,,
undertake,ˌʌndəˈteɪk,v.,v. 承担，从事；保证，担保；承诺，答应,,,
uneasy,ʌnˈiːzi,adj.,adj. 不安的，担心的；不舒服的，不自在的；不稳定的，不安定的,,,
unemployment,ʌnɪmˈplɔɪmənt,n.,n. 失业；失业率；失业人数,,,
unexpected,ˌʌnɪkˈspektɪd,adj.,adj. 意料之外的，想不到的,,,
unify,ˈjuːnɪfaɪ,v.,v. 使统一，使一致；使成一体，使联合,,,
union,ˈjuːniən,n.,n. 联盟，工会；结合，联合；婚姻；协会，联合会,,,
unique,juːˈniːk,adj.,adj. 独特的，独一无二的；独特的，罕见的；独有的，专有的,,,
universal,ˌjuːnɪˈvɜːsl,adj.,adj. 普遍的，全体的，全世界的；通用的，普遍适用的；n. 普遍原则，通用规律,,,
universe,ˈjuːnɪvɜːs,n.,n. 宇宙，天地万物；领域，范围；（统计学）总体,,,
unlike,ʌnˈlaɪk,prep.,prep. 不像，与...不同；adj. 不同的，不相似的；conj. 与...不同，不像,,,
unlikely,ʌnˈlaɪkli,adj.,adj. 不太可能的，未必会发生的；不可能的，不太可能的；出乎意料的，不太适合的,,,
unusual,ʌnˈjuːʒuəl,adj.,adj. 不寻常的，罕见的，异常的,,,
vague,veɪɡ,adj.,adj. 模糊的，不清楚的；含糊的，不明确的；茫然的，心不在焉的,,,
vain,veɪn,adj.,adj. 自负的，爱虚荣的；徒劳的，无效的；空虚的，无价值的,,,
valid,ˈvæl.ɪd,adj.,adj. 有效的，有法律效力的；正确的，合理的，符合逻辑的,,,
valuable,ˈvæljuəbl,adj.,adj. 贵重的，有价值的；宝贵的，重要的；有用的，有益的,,,
value,ˈvæljuː,n.,n. 价值，重要性；价格，估价；（数学中的）值；（音乐中的）音值；（绘画中的）明暗度；v. 重视，珍惜；评估，估价,,,
vanish,ˈvænɪʃ,v.,v. 消失，突然不见；消失，消散；消退，消亡,,,
variable,ˈveəriəbl,adj.,adj. 可变的，易变的；变化的，多变的；n. 变量；可变因素，变数,,,
variance,ˈveəriəns,n.,n. 变化，差异；方差（统计学术语）,,,
variation,ˌveəriˈeɪʃn,n.,n. 变化，变动；变异，变种；变奏曲,,,
variety,vəˈraɪəti,n.,n. 多样性，变化；种类，品种；变种，变体；综艺节目，杂耍表演,,,
various,ˈveəriəs,adj.,adj. 不同的，各种各样的；多方面的，多种的,,,
vary,ˈveəri,v.,v. 变化，改变；使不同，使多样化；变更，修改,,,
vast,vɑːst,adj.,adj. 巨大的，广阔的，辽阔的；数量庞大的，范围广泛的,,,
wage,weɪdʒ,n.,n. 工资，薪水；v. 发动，进行（战争、运动等）,,,
wander,ˈwɒndə(r),v.,v. 漫步，闲逛；走神，走失；偏离，漂泊,,,
want,wɒnt,v.,v. 想要，希望；需要；缺乏，缺少；n. 缺乏，不足；需要，需求,,,
way,weɪ,n.,n. 方法，方式；道路，路线；方向；习惯，特点；距离；方面；进程，过程；状态，处境；adv. 很远；非常,,,
weak,wiːk,adj.,adj. 虚弱的，无力的；软弱的，懦弱的；微弱的，淡的；差的，不好的；薄弱的，脆弱的；不擅长的,,,
wear,weə(r),v.,v. 穿，戴；磨损，耗损；表现出，呈现；n. 穿着，衣着,,,
weary,ˈwɪəri,adj.,adj. 疲倦的，厌烦的；使人疲劳的，令人厌倦的；v. 使疲劳，使厌烦,,,
weigh,weɪ,v.,v. 称重量；有...重；权衡，考虑；影响，对...有影响,,,
weight,weɪt,n.,n. 重量，分量；重要性，分量；压力，负担；v. 加重量于，使...重；权衡，考虑,,,
weird,wɪəd,adj.,adj. 奇怪的，不寻常的；怪异的，超自然的；不可思议的，离奇的,,,
welfare,ˈwelfeə(r),n.,n. 福利，福祉；幸福，安康；社会福利,,,
whirl,wɜːl,v.,v. 旋转，急转；使旋转，使回旋；使眩晕，使混乱；n. 旋转，急转；一连串的活动，混乱,,,
whisper,ˈwɪspə(r),v.,v. 低语，耳语，小声说；谣传，暗中流传；n. 耳语，低语，私语,,,
yield,jiːld,v.,v. 屈服，让步；产生，提供；放弃，让出；n. 产量，收益,,,
youth,juːθ,n.,n. 青年时期，年轻；青年人，年轻人；青年（统称）；年轻的特征，青春气息,,,
zigzag,ˈzɪɡzæɡ,n.,n. 之字形，锯齿形；adj. 之字形的，锯齿形的；v. 沿之字形移动，曲折前进；adv. 呈之字形地，曲折地,,,
zone,zəʊn,n.,n. 地带，区域；时区；区域，范围；v. 划分区域,,,
zoom,zuːm,v.,v. 快速移动，急速前进；急剧上升或增长；（摄影）变焦，调焦；n. 嗡嗡声，嗖嗖声；快速上升，急剧增长,,,
key,kiː,n.,n. 钥匙；关键，要诀；答案；键（尤指钢琴或电脑键盘上的）；音调，调子；adj. 主要的，关键的；v. 用钥匙开启；调整...以配合,,,
knit,nɪt,v.,v. 编织，针织；使紧密结合，使连接；n. 针织物，编织物,,,
mediate,ˈmiːdieɪt,v.,v. 调解，斡旋；居中，作为中介；adj. 居中的，中间的,,,
meditation,ˌmedɪˈteɪʃn,n.,n. 冥想，沉思；深思，静思,,,
medium,ˈmiːdiəm,n.,n. 媒介，手段；介质，媒质；灵媒，巫师；adj. 中等的，适中的；平均的，中间的,,,
media,ˈmiːdiə,n.,n. 媒体，传播媒介；新闻媒体，新闻界；adj. 媒体的，传媒的,,,
elaborate,ɪˈlæbərət,adj.,adj. 复杂的，详尽的，精心制作的；v. 详细说明，阐述；精心制作，详细制定,,,
elegant,ˈelɪɡənt,adj.,adj. 优雅的，雅致的；精美的，讲究的；简洁的，巧妙的,,,
element,ˈelɪmənt,n.,n. 要素，成分；元素；自然环境；基本原理；少量；适合的环境,,,
elementary,ˌelɪˈmentəri,adj.,adj. 基本的，初级的，入门的；简单的，容易的；基础的，基本的；初等的,,,
eliminate,ɪˈlɪmɪneɪt,v.,v. 消除，排除；淘汰，剔除；杀死，干掉,,,
abolish,əˈbɒlɪʃ,v.,v. 废除，废止（法律、制度等）,,,
absence,ˈæbsəns,n.,n. 缺席，不在场；缺乏，不存在；缺席期间,,,
absent,ˈæbsənt,adj.,adj. 缺席的，不在场的；心不在焉的，出神的；缺乏的，不存在的；v. 使缺席，使不在场,,,
abroad,əˈbrɔːd,adv.,adv. 在国外，到国外；广为流传，到处,,,
absolute,ˈæbsəluːt,adj.,adj. 完全的，绝对的；无条件的；专制的，独裁的；绝对的，完全的（用于强调）；n. 绝对真理，绝对原则,,,
absorb,əbˈzɔːb,v.,v. 吸收，吸纳（液体、气体等）；使全神贯注，吸引全部注意力；理解，领会；承受，忍受（冲击、打击等）；吸收，合并（组织、企业等）,,,
abstract,ˈæbstrækt,adj.,adj. 抽象的，理论上的；抽象派的；n. 摘要，概要；抽象派艺术；v. 提取；抽象化；概括,,,
ban,bæn,v.,v. 禁止，取缔；n. 禁令，禁止,,,
bar,bɑː(r),n.,n. 酒吧，酒馆；长条，条状物；栅栏，横木；法庭，律师职业；障碍，阻碍；（音乐）小节；（图表中的）条形；v. 阻拦，阻挡；禁止，排斥,,,
bare,beə(r),adj.,adj. 赤裸的，光秃秃的；空的，无遮蔽的；仅仅的，勉强的；简单的，基本的；v. 使赤裸，暴露,,,
