word,kana,pos,meaning,example,example_trans,image_url
素,もと,,主要,,,
通学,つうがく,,上学的通勤,,,
預ける,あづける,,交托、委托、交存,,,
計画,けいかく,,计划，项目，进度，方案，程序,,,
救助,きゅうじょ,,救济，援助，救援,,,
スタイル,スタイル,,风格,,,
差,さ,,差异，变化,,,
キャンプ,キャンプ,,营地,,,
王,おう,,国王，统治者，君主，君主,,,
旅,たび,,旅行，旅行，旅程,,,
無料,むりょう,,免费，不收费,,,
解決,かいけつ,,结算，解决方案，解决,,,
信用,しんよう,,信心，依赖，信用，信念,,,
疑う,うたがう,,怀疑，不信任，怀疑，怀疑,,,
土地,とち,,地块，地块，土壤,,,
湾,わん,,海湾，海湾，入口,,,
恋,こい,,爱，温柔的激情,,,
得意,とくい,,骄傲、胜利、繁荣,,,
評価,ひょうか,,估价，估价，评估，评价,,,
論文,ろんぶん,,论文，论文，论文，论文,,,
腹,はら,,腹部、腹部、胃部,,,
二十,にじゅう,,20岁，20岁,,,
中心,ちゅうしん,,中心，核心，心脏，枢轴，强调，平衡,,,
決定,けってい,,决定，决心,,,
活動,かつどう,,动作，活动,,,
来,き,,，（10 天），下一（年）,,,
サービス,サービス,,（1）服务，支持系统，（2）免费商品或服务,,,
医療,いりょう,,医疗、医疗,,,
関心,かんしん,,关注，关注,,,
未来,みらい,,将来（生命，时态）,,,
発車,はっしゃ,,车辆的出发,,,
納得,なっとく,,同意，同意，理解,,,
急に,きゅうに,,--,,,
冗談,じょうだん,,开玩笑，开玩笑,,,
空く,すく,,（1）打开，变得空旷，（2）不那么拥挤,,,
昇る,のぼる,,升起，上升，上升,,,
絶対,ぜったい,,绝对的，无条件的，绝对的,,,
沈む,しずむ,,沉沦，感到沮丧,,,
気付く,きづく,,去注意，去认识，去觉知,,,
文,ぶん,,句,,,
航空,こうくう,,航空，飞行,,,
ピン,ピン,,针,,,
刺激,しげき,,刺激，推动力，激励,,,
大気,たいき,,大气层,,,
ペンキ,ペンキ,,（n） 油漆 （nl： pek）,,,
信号,しんごう,,交通信号灯，信号灯，信号灯,,,
結論,けつろん,,结论,,,
郵便,ゆうびん,,邮件，邮政服务,,,
ベンチ,ベンチ,,板凳,,,
履く,はく,,穿，穿（下半身）,,,
向ける,むける,,转向，指向,,,
順番,じゅんばん,,转弯（成线），事情的顺序,,,
伺う,うかがう,,（hon） 访问、询问、询问,,,
替える,かえる,,交换，交换，替代，替换,,,
印刷,いんさつ,,印刷,,,
身長,しんちょう,,身高（身体），身材,,,
虎,とら,,老虎,,,
証明,しょうめい,,证明，验证,,,
泉,いずみ,,泉水，喷泉,,,
刑事,けいじ,,刑事案件，（警察）侦探,,,
捕まる,つかまる,,被抓，被抓,,,
振る,ふる,,（1）挥舞，摇晃，摆动，（2）洒水，（3）演员，分配（工作）,,,
詩人,しじん,,诗人,,,
単に,たんに,,简单，仅，仅，仅,,,
偶然,ぐうぜん,,（通过）偶然，出乎意料，突然,,,
天候,てんこう,,天气,,,
文字,もじ,,字母（字母），字符,,,
そこ,そこ,,底部，鞋底,,,
満ちる,みちる,,要饱满，要上升（潮汐），要成熟，要过期,,,
適する,てきする,,合身，合身,,,
ぼんやり,ぼんやり,,心不在焉，笨拙，昏暗，昏昏沉沉，含糊不清,,,
品,しな,,事物，文章，商品，尊严，物品（商品），餐程柜台,,,
命令,めいれい,,命令，命令，法令，指令，（软件）指令,,,
句,く,,句,,,
頭痛,ずつう,,头痛,,,
正,ただし,,（逻辑）真，规律,,,
券,けん,,票据、优惠券、债券、证书,,,
作業,さぎょう,,工作，操作，制造，疲劳工,,,
付き合い,つきあい,,协会，社交，团契,,,
唯,ただ,,免费，仅，唯一，普通，普通,,,
嘘,うそ,,谎言，谎言，不正确的事实，不恰当,,,
化粧,けしょう,,彩妆（化妆品）,,,
損害,そんがい,,损坏，伤害，损失,,,
合格,ごうかく,,成功，通过（例如考试），资格,,,
冒険,ぼうけん,,风险，风险，冒险,,,
成る,なる,,成为,,,
無,む,,无，无，无，零,,,
移動,いどう,,搬迁、迁移、移动,,,
通す,とおす,,让过去，忽略，继续,,,
尤も,もっとも,,很对，似是而非，自然，但是，虽然,,,
真剣,しんけん,,认真，认真,,,
七,なな,,七,,,
遠慮,えんりょ,,怯懦、克制、矜持,,,
試し,ためし,,试验，测试,,,
しかも,しかも,,此外，此外，尽管如此，然而,,,
軒,のき,,屋檐,,,
キャプテン,キャプテン,,船长,,,
コーチ,コーチ,,长途汽车,,,
日,ひ,,太阳，阳光，白天,,,
頂く,いただく,,接收，吃东西或喝水（嗡嗡声）,,,
婚約,こんやく,,订婚，订婚,,,
穏やか,おだやか,,平静，温柔，安静,,,
最中,さいちゅう,,在中间,,,
ちゃんと,ちゃんと,,完美、正确、准确,,,
独立,どくりつ,,独立（如工业日），自立,,,
約,やく,,大约，大约，一些,,,
掛かる,かかる,,花费（例如时间、金钱等），挂起,,,
具体,ぐたい,,混凝土，有形，材料,,,
全,ちょん,,全部，整体，整体，完整，整体，平移,,,
ワイン,ワイン,,酒,,,
僅か,わずか,,只是，只是，一点点，少量,,,
スター,スター,,星,,,
そっと,そっと,,地球的面貌,,,
可能,かのう,,可行，可行，可行,,,
トップ,トップ,,返回页首,,,
破産,はさん,,（个人）破产,,,
刀,かたな,,剑，军刀，刀，雕刻工具,,,
強力,きょうりょく,,大力士力量，登山航母向导,,,
鍵,かぎ,,钥匙,,,
食品,しょくひん,,日用品、食品,,,
駐車,ちゅうしゃ,,停车场（如汽车）,,,
お昼,おひる,,午餐，中午,,,
立ち上がる,たちあがる,,站起来,,,
投票,とうひょう,,投票，投票,,,
盛り,もり,,帮助，服务,,,
状況,じょうきょう,,事态，情况，情况,,,
目的,もくてき,,目的，目标，目的，目的，意图,,,
縄,なわ,,绳索，麻,,,
極,ごく,,相当，非常,,,
学者,がくしゃ,,学者,,,
招く,まねく,,邀请,,,
選択,せんたく,,选择，选择,,,
完了,かんりょう,,完成，结论,,,
秒,びょう,,第二秒（第60分钟）,,,
どこか,どこか,,某处，随处,,,
アウト,アウト,,外,,,
そっくり,そっくり,,所有，完全，完全，就像，分裂的形象,,,
広がる,ひろがる,,伸展（向外），伸展，伸展，伸展，,,,
空,そら,,天空,,,
印,しるし,,（1）标记，（2）符号，（3）证据,,,
必死,ひっし,,不可避免的死亡，绝望，疯狂，不可避免的结果,,,
両替,りょうがえ,,零钱，货币兑换,,,
金,きむ,,（1）黄金，（2）黄金将军（将棋）（缩写）,,,
人気,にんき,,生命的迹象,,,
述べる,のべる,,陈述，表达，提及,,,
畑,はたけ,,田,,,
凍る,こおる,,冻结，冻结，凝结,,,
出会う,であう,,偶然相遇，偶遇，偶遇,,,
苦労,くろう,,烦恼，艰辛,,,
愉快,ゆかい,,愉快，快乐,,,
酒,さけ,,酒精，清酒,,,
通行,つうこう,,通过，传递,,,
仕舞った,しまった,,该死！,,,
翼,つばさ,,翅膀,,,
商人,しょうにん,,商人，店主，商人,,,
丸,まる,,圆圈，完整（月），完美，纯度，船名后缀,,,
案,あん,,计划，后缀含义草案,,,
間,ま,,空间，房间，时间，暂停,,,
居る,おる,,成为（有生命），成为，存在,,,
職業,しょくぎょう,,职业，商业,,,
専攻,せんこう,,专业科目，专业学习,,,
上京,じょうきょう,,前往首都（东京）,,,
記念,きねん,,纪念，纪念,,,
菓子,かし,,糕点,,,
したがって,したがって,,因此，因此，根据,,,
それとも,それとも,,或者，或者,,,
見事,みごと,,灿烂，壮丽，美丽，令人钦佩,,,
うまい,うまい,,美味,,,
大した,たいした,,相当，伟大，重要，重要，重大，大不了,,,
父親,ちちおや,,爸爸,,,
国民,こくみん,,民族，人民，公民,,,
優れる,すぐれる,,超越，超越，超越,,,
積もる,つもる,,堆积起来,,,
患者,かんじゃ,,患者,,,
要点,ようてん,,要点，要点,,,
貧しい,まずしい,,穷人，有需要的人,,,
表情,ひょうじょう,,面部表情,,,
自身,じしん,,靠自己，个人,,,
成長,せいちょう,,成长，成长到成年,,,
喧嘩,けんか,,争吵，（醉酒）斗殴，失败,,,
女王,じょおう,,女王,,,
理解,りかい,,理解，理解,,,
ドレス,ドレス,,连衣裙,,,
張る,はる,,粘贴，粘贴,,,
変化,へんか,,妖精，幽灵，幽灵，虫熊,,,
環境,かんきょう,,环境，环境,,,
弾,たま,,子弹，射击，炮弹,,,
霧,きり,,雾，雾,,,
愛,あい,,爱,,,
秘密,ひみつ,,秘密，保密,,,
製品,せいひん,,制成品、制成品,,,
轢く,ひく,,碾过某人（用车辆），将某人撞倒,,,
粗,ほぼ,,缺陷，缺陷，瑕疵，弱点,,,
スケート,スケート,,溜冰鞋，溜冰,,,
違いない,ちがいない,,（短语）当然，没有误会，当然,,,
誕生,たんじょう,,出生,,,
首相,しゅしょう,,总理,,,
まあ,まあ,,（女）你可能会说,,,
魚,さかな,,鱼,,,
側,がわ,,侧面，边缘，第三人称,,,
歌手,かしゅ,,歌手,,,
同様,どうよう,,相同，等于，相同（种类），喜欢,,,
信じる,しんじる,,相信，信任,,,
生,なま,,（1）生啤酒，（2）生的，未加工的,,,
注ぐ,そそぐ,,倒入（进入）、灌溉、支付、填充、喂养（例如火）,,,
講演,こうえん,,讲座，演讲,,,
マスター,マスター,,业主，经理，酒吧老板，硕士（如艺术、科学）,,,
回復,かいふく,,恢复（从疾病中），改善，康复，恢复,,,
毒,どく,,毒药，有毒物,,,
否定,ひてい,,否定，否认，否认,,,
週,しゅう,,周,,,
悪魔,あくま,,魔鬼，恶魔，邪灵,,,
学期,がっき,,学期（学校）,,,
覆う,おおう,,遮盖，隐藏，隐藏，包裹，伪装,,,
実行,じっこう,,实践、绩效、执行（如程序）、实现,,,
まさか,まさか,,绝不是,,,
夜,よる,,傍晚，夜晚,,,
野,の,,田,,,
技師,ぎし,,工程师、技术员,,,
段,だん,,台阶，楼梯，台阶，等级，等级，等级,,,
今に,いまに,,不久之后，甚至现在,,,
模様,もよう,,图案，图形，设计,,,
立場,たちば,,立场，立场，情况,,,
ミス,ミス,,miss（错误、错误、失败）、Miss,,,
医師,いし,,医生，医师,,,
身,み,,身体，主体，自己，剑,,,
飽きる,あきる,,厌倦，失去兴趣，拥有足够,,,
関する,かんする,,关注，相关,,,
親戚,しんせき,,相对,,,
教授,きょうじゅ,,教学，指导，教授,,,
結局,けっきょく,,毕竟，最终,,,
直接,ちょくせつ,,直接的、即时的、个人的、第一手的,,,
為る,なる,,改变，有用，达到,,,
我々,われわれ,,我们,,,
辛い,つらい,,痛苦，令人心碎,,,
豊富,ほうふ,,富足，财富，丰盛，赏金,,,
炎,ほのお,,火焰,,,
価格,かかく,,价格，价值，成本,,,
順調,じゅんちょう,,有利，做得很好，OK，好吧,,,
辞める,やめる,,退休,,,
馬,うま,,（1）马，（2）晋升主教（将棋）,,,
報告,ほうこく,,报告，信息,,,
実際,じっさい,,实际，实际情况，现状,,,
全然,ぜんぜん,,（1）完全，完全，完全，（2）完全没有（带否定动词）,,,
等しい,ひとしい,,平等,,,
意志,いし,,意志，意志,,,
失う,うしなう,,失去，分手,,,
販売,はんばい,,销售，销售，营销,,,
支える,ささえる,,被阻塞，窒息，被阻挠,,,
ラケット,ラケット,,球拍，球拍,,,
機能,きのう,,功能，师资力量,,,
予測,よそく,,预测，估计,,,
眺め,ながめ,,场景，视图，前景，展望,,,
禁煙,きんえん,,禁止吸烟！,,,
週間,しゅうかん,,周，周,,,
誇り,ほこり,,自豪,,,
調査,ちょうさ,,调查，检查，询问，调查,,,
注目,ちゅうもく,,注意，注意，观察,,,
苦痛,くつう,,疼痛，痛苦,,,
番,ばん,,--,,,
地位,ちい,,（社会）地位，地位,,,
迎え,むかえ,,会议，派人来接货,,,
流す,ながす,,排水，漂浮，流（血，泪），巡航（例如出租车）,,,
代理,だいり,,代表，代理，代理，代理，代理，代理,,,
条件,じょうけん,,条件，条款,,,
激しい,はげしい,,暴力，激烈，激烈,,,
中央,ちゅうおう,,中心，中心，中心，中间,,,
分,ぶん,,分割，部分,,,
認める,みとめる,,承认，欣赏，批准，承认，注意,,,
組合,くみあい,,协会，工会,,,
チーム,チーム,,团队,,,
理想,りそう,,理想,,,
人生,じんせい,,（人类）生命（即受孕至死亡）,,,
粉,こな,,面粉，粉，粉,,,
飛行,ひこう,,航空,,,
直ちに,ただちに,,立即、立即、直接、亲自,,,
鎖,くさり,,链,,,
うなる,うなる,,呻吟，呻吟,,,
価値,かち,,价值，价值，优点,,,
逆らう,さからう,,反对，反对，不服从，蔑视,,,
管,かん,,管材，管材,,,
中古,ちゅうこ,,（1）二手、二手、旧,,,
話し合う,はなしあう,,一起讨论，一起交谈,,,
友,とも,,朋友，同伴，朋友,,,
曇,くもり,,多云，多云天气，阴影,,,
莫大,ばくだい,,浩瀚无垠，浩瀚无垠,,,
確認,かくにん,,肯定，确认,,,
稲,いね,,水稻植物,,,
飛ばす,とばす,,跳过，省略,,,
重視,じゅうし,,重要性，压力，认真考虑,,,
退屈,たいくつ,,乏味，无聊,,,
留める,とめる,,扣，关，扣,,,
戦い,たたかい,,战斗，战斗，斗争，冲突,,,
温暖,おんだん,,温暖,,,
暮らす,くらす,,为了生活，为了相处,,,
筋肉,きんにく,,肌肉，肌腱,,,
横断,おうだん,,路口,,,
玉,たま,,球，球体，硬币,,,
望む,のぞむ,,渴望，希望，看到，命令（一种观点）,,,
積極的,せっきょくてき,,积极、主动、主动,,,
途端,とたん,,只是（现在、此刻等）,,,
横切る,よこぎる,,交叉（例如手臂），穿越,,,
種,たね,,（1）种子，（2）材料，（3）原因，来源,,,
裸,はだか,,裸体，裸体,,,
仲間,なかま,,公司，研究员，同事，助理,,,
おまえ,おまえ,,（fam）你（唱歌），存在（高贵的人物）,,,
言語,げんご,,语言,,,
試す,ためす,,尝试，测试,,,
巨大,きょだい,,巨大，巨大，巨大,,,
記録,きろく,,记录，会议记录，文件,,,
完成,かんせい,,（1）完成，完成，（2）完美，成就,,,
何,なに,,什么,,,
一体,いったい,,（1）一个物体，一个身体，（2）到底是什么？，真的？，（3）一般,,,
ノック,ノック,,（1）敲门，（2）fungo（棒球）,,,
故障,こしょう,,故障、故障、事故、故障,,,
問い,とい,,问题，查询,,,
留学,りゅうがく,,留学,,,
都会,とかい,,城市,,,
異なる,ことなる,,不同，变化，不同意,,,
稼ぐ,かせぐ,,赚取收入，劳动,,,
職,しょく,,就业,,,
街,まち,,（1）城镇，（2）街道，道路,,,
バイオリン,バイオリン,,小提琴,,,
行き,いき,,会,,,
物価,ぶっか,,商品价格，价格（一般）,,,
詩,し,,诗歌，诗歌的诗句,,,
恐ろしい,おそろしい,,可怕，可怕,,,
道路,どうろ,,公路，高速公路,,,
寧ろ,むしろ,,相反，更好，相反,,,
会員,かいいん,,会员，会员,,,
回,かい,,事件计数器,,,
請求,せいきゅう,,索赔，需求，申请，请求,,,
営業,えいぎょう,,商业、贸易、管理,,,
対,たい,,配对，情侣，设置,,,
多分,たぶん,,也许，可能,,,
与える,あたえる,,给予，赠送，奖励,,,
食事,しょくじ,,餐,,,
欠ける,かける,,缺乏,,,
省く,はぶく,,省略，消除，减少，节约,,,
出来るだけ,できるだけ,,如果可能的话,,,
姿,すがた,,身材，形状，外观,,,
立派,りっぱ,,灿烂，精致，帅气，优雅，气势磅礴，突出，合法，合法,,,
コピー,コピー,,（1）一份（照片）副本，（2）书皮上的简介,,,
農業,のうぎょう,,农业,,,
署名,しょめい,,签名,,,
避ける,さける,,（1）避免（身体接触），（2）避免，避免,,,
困難,こんなん,,困难，苦恼,,,
幕,まく,,帷幕，彩旗，表演（播放中）,,,
評判,ひょうばん,,名声，声誉，人气，阿兰特,,,
九,きゅう,,九,,,
かわいらしい,かわいらしい,,可爱，甜蜜,,,
或,ある,,某,,,
学,がく,,学习，学术，博学，知识,,,
カード,カード,,卡，凝乳,,,
予算,よさん,,估算，预算,,,
老い,おい,,老年，老人，老人，老人,,,
筋,すじ,,肌肉，绳子，线,,,
突然,とつぜん,,突然，突然，出乎意料，一下子,,,
至る,いたる,,来，来,,,
氏,し,,姓氏，世系，出生,,,
新た,あらた,,新，新鲜，新颖,,,
ごめんなさい,ごめんなさい,,对不起，对不起,,,
日本,にっぽん,,日本,,,
雷,かみなり,,雷,,,
袋,ふくろ,,袋子，麻袋,,,
一種,いっしゅ,,一个物种，一种，一个品种,,,
程,ほど,,度，范围，边界，限制,,,
役割,やくわり,,部分，分配（分配）部分，角色，职责,,,
倒す,たおす,,扔倒，打败，打倒，吹倒,,,
否,いな,,不，NOES,,,
哲学,てつがく,,哲学,,,
許す,ゆるす,,允许，允许，批准,,,
検討,けんとう,,考虑，审查，调查，研究，审查,,,
エネルギー,エネルギー,,（n） 能量 （de： Energie）,,,
しきりに,しきりに,,频繁、反复、不停地、热切地,,,
夫人,ふじん,,妻子，夫人，夫人,,,
実施,じっし,,执行、制定、实施、实施、实施、实施,,,
夜明け,よあけ,,黎明，黎明,,,
綿,めん,,棉，衬垫,,,
男の人,おとこのひと,,男人,,,
時刻,じこく,,瞬间，时间，瞬间,,,
失望,しつぼう,,失望，绝望,,,
硬貨,こうか,,硬币,,,
いけない,いけない,,一定不做，不好，做错，不做,,,
動かす,うごかす,,移动，转移,,,
操作,そうさ,,运营、管理、加工,,,
今回,こんかい,,现在，这一次，最近,,,
梅雨,つゆ,,雨季，雨季雨,,,
眺める,ながめる,,去看，去凝视,,,
語学,ごがく,,语言学习,,,
材料,ざいりょう,,配料、材料,,,
金属,きんぞく,,金属,,,
放送,ほうそう,,广播，广播,,,
救う,すくう,,从中抢救，从中帮助,,,
供給,きょうきゅう,,供应，供应,,,
会合,かいごう,,会议，集会,,,
他,た,,其他（尤其是地点和事物）,,,
辺り,あたり,,附近，附近,,,
流れ,ながれ,,流，当前,,,
今日,きょう,,今天，这一天,,,
苦しい,くるしい,,痛苦，困难,,,
汚染,おせん,,污染，污染,,,
幅,はば,,宽度，宽度,,,
直,ただし,,认真、立即、确切,,,
住宅,じゅうたく,,居民，住房,,,
瓶,びん,,瓶,,,
ベルト,ベルト,,西式服装腰带,,,
確実,かくじつ,,确定性、可靠性、稳健性,,,
恐怖,きょうふ,,害怕，恐惧，沮丧，恐惧,,,
安定,あんてい,,稳定性，平衡性,,,
新鮮,しんせん,,新鲜,,,
あいにく,あいにく,,很遗憾，对不起，但是....,,,
いつまでも,いつまでも,,永远，永远，永远，只要一个人喜欢，无限期,,,
居間,いま,,客厅（西式）,,,
金曜,きんよう,,（缩写）星期五,,,
光景,こうけい,,场景，奇观,,,
わがまま,わがまま,,自私，利己主义，任性，不服从，心血来潮,,,
酸素,さんそ,,氧,,,
球,たま,,地球，球体，球,,,
人込み,ひとごみ,,人群,,,
ピクニック,ピクニック,,野餐,,,
大会,たいかい,,大会，锦标赛，群众集会，集会,,,
演説,えんぜつ,,演讲，致辞,,,
ダイヤ,ダイヤ,,（1）染色机，（2）图表，（3）（铁路）时间表，（4）金刚石,,,
割る,われる,,除、切、折、减半,,,
うるさい,うるさい,,嘈杂，嘈杂，挑剔,,,
実,み,,水果，坚果，种子，内容物，效果好,,,
下す,くだす,,放下，放下,,,
資本,しほん,,资金、资本,,,
罹る,かかる,,遭受,,,
責任,せきにん,,义务，责任,,,
願い,ねがい,,欲望，愿望，请求,,,
機関,きかん,,机关，机关，设施，发动机,,,
羽,はね,,鸟计数器，兔子计数器,,,
勧める,すすめる,,推荐，建议，鼓励，提供（葡萄酒）,,,
不幸,ふこう,,不幸，悲伤，不幸，灾难，事故，死亡,,,
支店,してん,,分店（办公室）,,,
見舞い,みまい,,询问，表示同情，表达关注,,,
肌,はだ,,皮肤,,,
不,ふ,,un，non，否定前缀,,,
過ごす,すごす,,要过去，要花，要走，要渡过难关,,,
いただきます,いただきます,,饭前表达感激之情,,,
大変,たいへん,,可怕，可怕，可怕，非常,,,
緊張,きんちょう,,紧张，精神紧张，紧张,,,
オフィス,オフィス,,办公室,,,
見当,けんとう,,被发现，目标，估计，猜测，近似,,,
仲,なか,,关系，关系,,,
制限,せいげん,,限制，约束，限制,,,
扱う,あつかう,,处理，处理，治疗,,,
昼食,ちゅうしょく,,午餐，中午餐,,,
長期,ちょうき,,时间长,,,
能,のう,,熟练、良好、正确,,,
到着,とうちゃく,,到来,,,
外す,はずす,,解开，取下,,,
頬,ほお,,脸颊（脸部）,,,
少しも,すこしも,,什么的，一点都没有,,,
腐る,くさる,,腐烂，变坏,,,
額,がく,,额头，眉毛,,,
心臓,しんぞう,,心,,,
学ぶ,まなぶ,,学习（深入），学习，上课,,,
茶,ちゃ,,茶,,,
体温,たいおん,,温度（身体）,,,
熱中,ねっちゅう,,坚果！，热情，狂热，狂热,,,
引退,いんたい,,退休,,,
別に,べつに,,（不是）特别是，什么都没有,,,
座席,ざせき,,座位,,,
入場,にゅうじょう,,入口，入场，入口,,,
親しい,したしい,,亲密，亲密（例如朋友）,,,
現れ,あらわれ,,具体实施方式，物化,,,
誤り,あやまり,,错误,,,
臭い,くさい,,气味，气味，气味，恶臭,,,
図,ず,,图（如图1），图，图，图，示意图,,,
ですから,ですから,,因此,,,
運転,うんてん,,操作，运动，驱动,,,
加わる,くわわる,,加入、加入、增加、获得（影响力）,,,
役,やく,,使用，服务，角色，职位,,,
破る,やぶる,,撕裂，侵犯，失败，粉碎，摧毁,,,
財産,ざいさん,,财产，财富，资产,,,
建築,けんちく,,建筑，建筑,,,
宝石,ほうせき,,宝石，宝石,,,
設計,せっけい,,规划、设计,,,
世の中,よのなか,,社会，世界，时代,,,
だから,だから,,所以，因此,,,
噂,うわさ,,谣言，报道，八卦，普通谈话,,,
手術,しゅじゅつ,,手术,,,
育つ,そだつ,,抚养（孩子），被抚养，长大（长大）,,,
川,かわ,,河,,,
で,で,,流出，进（出）出，毕业（的）,,,
学習,がくしゅう,,学习，学习,,,
性,せい,,性别，性别,,,
-旧,きゅう,,前任,,,
政府,せいふ,,政府，行政,,,
製造,せいぞう,,制造，生产,,,
努力,どりょく,,巨大的努力，努力，努力，努力,,,
月,つき,,月亮，月份,,,
情報,じょうほう,,信息，（军事）情报,,,
単位,たんい,,单位、面额、学分（在校）,,,
戻す,もどす,,恢复，放回，返回,,,
少女,しょうじょ,,女儿，年轻女士，处女，少女，小女孩,,,
こんにちは,こんにちは,,你好，美好的一天（白天问候，ID）,,,
だって,だって,,但是，因为，甚至，也，太,,,
画家,がか,,画家，艺术家,,,
現在,げんざい,,现在，到现在，现在，现代，现在,,,
かわいそう,かわいそう,,可怜，可怜，可怜,,,
雰囲気,ふんいき,,氛围（如音乐剧）、情绪、氛围,,,
土,ど,,土，土,,,
道徳,どうとく,,道德,,,
依頼,いらい,,（1）请求、委托、调度，（2）依赖、信任,,,
参加,さんか,,参与,,,
嵐,あらし,,暴风雨，暴风雨,,,
同僚,どうりょう,,同事，同事，助理,,,
マーケット,マーケット,,市场,,,
ビール,ビール,,啤酒,,,
それと,それと,,--,,,
覚悟,かくご,,决议，辞职，准备，准备,,,
おそらく,おそらく,,也许,,,
管理,かんり,,控制、管理（例如企业）,,,
ところが,ところが,,然而，虽然，即使,,,
重要,じゅうよう,,重要，重大，必不可少，主要，主要,,,
貸し,かし,,贷款，贷款,,,
処理,しょり,,处理、处理、处理、处置、处置,,,
悪口,わるぐち,,辱骂，侮辱，诽谤，恶言恶语,,,
位,くらい,,等级，排名，关于,,,
万一,まんいち,,通过某种机会，通过某种可能性，如果有任何机会，10E4：1 赔率,,,
金持ち,かねもち,,有钱人,,,
当時,とうじ,,在那个时候，在那些日子里,,,
才能,さいのう,,人才、能力,,,
実に,じつに,,确实，真的，肯定,,,
節,ふし,,调，音，结，旋钮，点,,,
左右,さゆう,,（1）左与右，（2）影响、控制、支配,,,
食糧,しょくりょう,,粮食，口粮,,,
開始,かいし,,开始，开始，开始,,,
そのうち,そのうち,,最终，迟早，前面提到的,,,
家具,かぐ,,家具,,,
越す,こす,,去（例如，与观众一起）,,,
金融,きんゆう,,货币流通、信贷状况,,,
年間,ねんかん,,年,,,
受け取る,うけとる,,接受，得到，接受，接受,,,
丸い,まるい,,圆形，圆形，球形,,,
考慮,こうりょ,,考虑，考虑到,,,
装置,そうち,,设备，安装，装置,,,
あんなに,あんなに,,在那个程度上，在那个程度上,,,
示す,しめす,,表示，显示，指出，表示,,,
輝く,かがやく,,闪耀，闪闪发光，闪闪发光,,,
謎,なぞ,,谜语，谜题，谜语,,,
誤解,ごかい,,误解,,,
最低,さいてい,,最少、最低、最差,,,
残り,のこり,,残余物、残留物、残留物、剩余物,,,
収入,しゅうにゅう,,收入，收入，收入,,,
床,ゆか,,地板,,,
上等,じょうとう,,优越，一流，非常好,,,
陸,りく,,六（用于法律文件）,,,
歩道,ほどう,,人行道，人行道，人行道,,,
修正,しゅうせい,,修正，更正，修订，修改,,,
月曜,げつよう,,星期一,,,
風呂,ふろ,,浴,,,
