word,phonetic,pos,meaning,example,example_trans,image_url
equator,ɪ'kweɪtə,,赤道 (n.),,,
commission,kə'mɪʃn,,委任状；委员会；佣金，回扣；授权，委托 (n.)；委任， 委托 (vt.),,,
staircase,'steəkeɪs,,楼梯 (n.),,,
flip,flɪp,,〈口〉无理的， 轻率的， 轻浮的 (adj.)；快速翻动，转动 (vt.)；捻掷，轻抛；轻拍 (n.),,,
rational,'ræʃnəl,,理性的， 理智的； 合理的 (adj.),,,
barricade,ˌbærɪ'keɪd,,路障，栅栏，障碍 (n.)；设路障于， 挡住 (vt.),,,
resume,rɪˈzjuːm; ˈrɛzjʊmeɪ,,重新开始， 继续， 恢复 (vt.)；摘要， 概要； 简历 (n.),,,
provocative,prə'vɒkətɪv,,挑衅的， 煽动的， 刺激的； 挑逗的 (adj.),,,
committee,kə'mɪti,,委员会， 全体委员 (n.),,,
posture,'pɒstʃə,,摆出姿势， 装模作样 (vi.)；姿势，姿态；看法，态度 (n.),,,
spiral,'spaɪrəl,,盘旋上升； 不断急剧地上升 (vi.)；螺旋的 (adj.)；螺旋，螺旋式的上升 (n.),,,
subtle,'sʌtl,,微妙的， 难以捉摸的； 诡秘的， 狡诈的； 隐约的 (adj.),,,
component,kəm'pəunənt,,组成的， 构成的 (adj.)；组成部分，部件，组件 (n.),,,
overwhelm,ˌəuvə'welm,,使受不了， 使不知所措； 征服， 制服 (vt.),,,
suite,swiːt,,套间； 一套家具； 套， 组， 系列 (n.),,,
consultant,kən'sʌltənt,,顾问； 会诊医师， 专科医生 (n.),,,
disguise,dɪs'gaɪz,,假扮，化装，伪装；掩盖，掩饰 (vt.)；用来伪装的东西； 伪装， 掩饰 (n.),,,
imperial,ɪm'pɪəriəl,,帝国的， 帝王的； 英制的 (adj.),,,
facet,'fæsɪt,,一个方面； 面 (n.),,,
liberal,'lɪbərəl,,心胸宽大的， 慷慨的； 自由的， 自由主义的 (adj.),,,
surgery,'sɜːdʒəri,,外科， 外科手术； 手术室 (n.),,,
harmony,'hɑːməni,,调和； 协调； 和谐 (n.),,,
violent,'vaɪələnt,,暴力引起的， 强暴的； 猛烈的， 剧烈的 (adj.),,,
resolve,rɪ'zɒlv,,决定；解决；分解 (v.)；决心 (n.),,,
cozy,'kəuzi,,舒适的； 亲切友好的 (adj.),,,
confront,kən'frʌnt,,迎面遇到， 遭遇； 勇敢地面对， 正视； 使对质， 使当面对证 (vt.),,,
dominate,'dɒmɪneɪt,,在…中占首要地位； 支配， 统治； 耸立于， 俯视； 拥有优势 (v.),,,
imitate,'ɪmɪteɪt,,模仿； 仿效； 仿制 (vt.),,,
deadly,'dedli,,非常， 极度地 (adv.)；致死的，致命的；不共戴天的；极度的，十足的 (adj.),,,
compute,kəm'pjuːt,,计算， 估算 (v.),,,
institution,ˌɪnstɪ'tjuːʃn,,协会； 制度； 习俗 (n.),,,
huddle,'hʌdl,,聚集在一起，挤作一团；把身子蜷成一团，蜷缩 (vi.)；使聚集在一起 (vt.)；挤在一起的人； 一堆杂乱的东西 (n.),,,
skeleton,'skelɪtn,,骨骼； 框架， 骨干； 梗概， 提要 (n.),,,
ambition,æm'bɪʃn,,雄心， 抱负， 野心； 期望得到的东西 (n.),,,
intersection,ˌɪntə'sekʃn,,道路交叉口， 交点 (n.),,,
exceed,ɪk'sɪːd,,超过， 胜过， 超出 (vt.),,,
implement,'ɪmplɪm(ə)nt,,使生效， 履行， 实施 (vt.)；工具， 器具， 用具 (n.),,,
disperse,dɪ'spɜːs,,分散， 赶散； 消散， 驱散 (vi.)；使分散，散开；使消散，消失 (vt.),,,
avert,ə'vɜːt,,防止， 避免； 转移 (vt.),,,
fantasy,'fæntəsi,,想象， 幻想； 想象的产物 (n.),,,
shipment,'ʃɪpmənt,,装运， 装船； 装载的货物 (n.),,,
vicious,'vɪʃəs,,恶毒的， 凶残的； 剧烈的， 严重的 (adj.),,,
lace,leɪs,,网眼花边，透孔织品；鞋带，系带 (n.)；用系带束紧 (vt.),,,
enormous,ɪ'nɔːməs,,巨大的， 庞大的 (adj.),,,
external,ɪk'stɜːnl,,外部的， 外面的 (adj.),,,
gorgeous,'gɔːdʒəs,,华丽的， 灿烂的， 绚丽的； 令人十分愉快的， 极好的 (adj.),,,
circumstance,'sɜːkəmstəns,,情况，条件，境遇； (n.),,,
authority,ɔː'θɒrəti,,官方； 权力； 当权者， 行政管理机构； 权威， 专家 (n.),,,
erosion,ɪ'rəuʒn,,腐蚀， 侵蚀， 磨损； 削弱， 减少 (n.),,,
ascend,ə'send,,渐渐上升，升高 (vi.)；攀登， 登上 (vt.),,,
provided,prə'vaɪdɪd,,假如， 若是 (conj.),,,
instrument,'ɪnstrəmənt,,仪器， 工具； 乐器 (n.),,,
medium,'miːdiəm,,中等的 (adj.)；媒质，媒介物；传导体 (n.),,,
indispensable,ˌɪndɪ'spensəbl,,必不可少的， 必需的 (adj.),,,
lens,lenz,,透镜， 镜片； 镜头 (n.),,,
embody,ɪm'bɒdi,,代表， 表现， 体现； 包括； 包含； 收录 (vt.),,,
fatal,'feɪtl,,致命的， 灾难性的， 毁灭性的； 重大的， 决定性的 (adj.),,,
motive,'məutɪv,,动机， 目的 (n.),,,
envisage,ɪn'vɪzɪdʒ,,想象， 设想 (vt.),,,
wrestle,'resl,,摔跤； 斗争， 搏斗 (n.),,,
motivate,'məutɪveɪt,,作为…的动机； 激励， 激发 (vt.),,,
marginal,'mɑːdʒɪnl,,微小的， 少量的； 不重要的； 仅以微弱多数票获胜的； 记在页边的， 有旁注的 (adj.),,,
spoil,spɔɪl,,变质 (vi.)；损坏，糟蹋；宠坏，溺爱 (vt.)；战利品， 掠夺物 (n.),,,
multiply,'mʌltɪplaɪ,,增加， 繁殖； 乘 (v.),,,
pasture,'pɑːstʃə,,牧草地，牧场 (n.)；放牧 (vt.),,,
approval,ə'pruːvl,,赞成， 同意； 认可， 批准 (n.),,,
mobile,'məubaɪl,,运动的；流动的；多变的 (adj.)；移动电话 (n.),,,
multiple,'mʌltɪpl,,复合的；多重的，多样的 (adj.)；倍数 (n.),,,
evolution,ˌevə'luːʃn,,进化， 演化； 发展 (n.),,,
peak,piːk,,达到高峰； 达到最大值 (vi.)；最大值的；高峰的 (adj.)；山顶，顶点，顶峰 (n.),,,
magnet,'mægnət,,磁铁， 磁体； 有吸引力的人和事物 (n.),,,
concentrate,'kɒnsntreɪt,,全神贯注，全力以赴；集中，聚集；浓缩 (v.)；浓缩物， 浓缩液 (n.),,,
expose,ɪk'spəuz,,使暴露， 揭露 (vt.),,,
versatile,'vɜːsətaɪl,,多才多艺的， 有多种技能的； 有多种用途的， 多功能的， 万用的 (adj.),,,
versus,'vɜːsəs,,以…为对手， 对； 与…相对， 与…相比之下 (prep.),,,
complaint,kəm'pleɪnt,,抱怨， 怨言； 控告 (n.),,,
permissible,pə'mɪsəbl,,可允许的， 许可的 (adj.),,,
cancer,'kænsə,,癌， 癌症， 肿瘤 (n.),,,
splash,splæʃ,,溅，泼 (v.)；溅泼声； 溅出的水； 斑点 (n.),,,
inject,ɪn'dʒekt,,注射， 给…注射； 注入， 引入， 投入 (vt.),,,
romance,rəu'mæns,,恋爱， 恋爱关系； 浪漫气氛， 传奇色彩； 爱情小说， 传奇故事 (n.),,,
offense,ə'fens,,犯规， 违法行为； 冒犯， 得罪 (n.),,,
atlas,'ætləs,,地图集 (n.),,,
invisible,ɪn'vɪzəbl,,看不见的， 无形的 (adj.),,,
focus,'fəukəs,,聚焦；集中 (v.)；焦点， 中心 (n.),,,
hamper,'hæmpə,,妨碍，束缚，限制 (vt.)；大篮子 (n.),,,
motel,məu'tel,,汽车旅馆 (n.),,,
approach,ə'prəutʃ,,向…靠近 (vt.)；靠近； 途径， 方式 (n.),,,
exaggeration,ɪgˌzædʒə'reɪʃn,,夸张； 夸大之词 (n.),,,
peg,peg,,小钉，栓，挂物钉；桩 (n.)；用钉子钉， 用钉固定； 限定； 将…看成， 将…归入 (vt.),,,
myth,mɪθ,,杜撰出来的人； 神话 (n.),,,
decisive,dɪ'saɪsɪv,,决定性的； 坚定的， 果断的， 决断的 (adj.),,,
concise,kən'saɪs,,简明的， 简要的 (adj.),,,
implication,ˌɪmplɪ'keɪʃn,,含意， 暗示， 暗指； 卷入， 牵连 (n.),,,
thesis,'θiːsɪs,,论文， 毕业论文； 论题， 论点 (n.),,,
bump,bʌmp,,碰，撞； (vi.),,,
reservation,ˌrezə'veɪʃn,,预订； 保留； 犹豫； 居留地 (n.),,,
revive,rɪ'vaɪv,,复苏 (v.),,,
cordial,'kɔːdiəl,,热情友好的， 热诚的 (adj.),,,
timid,'tɪmɪd,,羞怯的， 胆小的 (adj.),,,
loyalty,'lɔɪəlti,,忠诚， 忠心 (n.),,,
dismiss,dɪs'mɪs,,不再考虑； 解雇， 解散； 驳回 (vt.),,,
underlying,ˌʌndə'laɪɪŋ,,在下面的； 含蓄的； 潜在的 (adj.),,,
reform,rɪ'fɔːm,,改革， 改良， 改造； 改正， 改过自新 (n&v.),,,
install,ɪn'stɔːl,,安装， 设置； 使就职， 任命 (vt.),,,
ensue,ɪn'sjuː,,接着发生， 接踵而来， 因而产生 (vi.),,,
indication,ˌɪndɪ'keɪʃn,,指出， 指示； 迹象， 暗示 (n.),,,
bulk,bʌlk,,变得越来越大； 使更大 (v.)；物体，体积；大批 (n.),,,
bull,bul,,公牛； 雄兽； 买进证券投机图利者， 看涨的人 (n.),,,
champion,'tʃæmpiən,,冠军， 得胜者； 捍卫者， 拥护者 (n.),,,
ceramic,sə'ræmɪk,,陶器的 (adj.)；陶瓷器 (n.),,,
queer,kwɪə,,奇怪的， 异常的； 不舒服的， 眩晕的 (adj.),,,
successor,sək'sesə,,接替的人或事物， 继任者 (n.),,,
enlightenment,ɪn'laɪtnmənt,,启发， 开导； 开明， 文明 (n.),,,
booklet,'buklət,,小册子 (n.),,,
magnificent,mæg'nɪfɪsnt,,壮丽的， 华丽的； 极好的 (adj.),,,
stagger,'stægə,,摇晃，蹒跚 (vi.)；使吃惊；使错开，使交错 (vt.)；蹒跚， 踉跄 (n.),,,
irony,'aɪərəni,,反话， 冷嘲， 嘲弄； 具有讽刺意味的事 (n.),,,
restrict,rɪ'strɪkt,,限制， 约束， 限定 (vt.),,,
bandage,'bændɪdʒ,,绷带 (n.)；用绷带绑扎 (vt.),,,
prevalence,'prevələns,,流行 (n.),,,
scrap,skræp,,碎片，碎屑；废金属；残羹剩饭；少量，点滴 (n.)；废弃， 抛弃 (vt.),,,
syndrome,'sɪndrəum,,综合病症， 综合症状； 一系列表现 (n.),,,
tow,təu,,拖， 拉， 牵引 (n&vt.),,,
imperative,ɪm'perətɪv,,必要的；紧急的，极重要的；命令的 (adj.)；必要的事， 必须完成的事； 【语】祈使语气 (n.),,,
meadow,'medəu,,草地 (n.),,,
hitherto,ˌhɪðə'tuː,,到目前为止， 迄今 (adv.),,,
energetic,ˌenə'dʒetɪk,,精力充沛的， 充满活力的 (adj.),,,
haul,hɔːl,,拖，拉；拖运，运送 (vt.)；拖， 拉， 托运； 一次获得的数量 (n.),,,
avail,ə'veɪl,,有帮助； 有益； 有用 (v.)；效用，利益，帮助 (n.),,,
consequence,'kɒnsɪkwəns,,结果， 后果； 重要， 重大 (n.),,,
linear,'lɪniə,,线的， 直线的， 线状的； 长度的； 线性的 (adj.),,,
robust,rəu'bʌst,,强壮的， 健康的 (adj.),,,
dominant,'dɒmɪnənt,,占优势的， 支配的， 统治的； 居高临下的， 高耸的 (adj.),,,
premier,'premiə,,首要的， 首位的， 首次的 (adj.)；总理，首相 (n.),,,
peel,piːl,,剥落，脱皮 (vi.)；削…的皮，剥…的壳 (vt.)；皮， 外衣 (n.),,,
intellectual,ˌɪntə'lektʃuəl,,智力的 (adj.)；知识分子 (n.),,,
reclaim,rɪ'kleɪm,,要回； 开垦； 回收 (vt.),,,
denounce,dɪ'nauns,,谴责， 指责； 告发 (vt.),,,
verge,vɜːdʒ,,接近， 濒临 (vi.)；边，边缘 (n.),,,
pastry,'peɪstri,,油酥面团， 酥皮糕点 (n.),,,
messenger,'mesɪndʒə,,送信人， 信使 (n.),,,
disable,dɪs'eɪbl,,丧失能力， 伤残 (vt.),,,
irrespective,ˌɪrɪ'spektɪv,,不考虑的， 不顾及的 (adj.),,,
entity,'entəti,,实体， 独立存在体， 实际存在物 (n.),,,
prohibit,prə'hɪbɪt,,禁止， 不准 (vt.),,,
bacteria,bæk'tɪəriə,,细菌 (n.),,,
fuel,fjuːəl,,燃料，燃料剂 (n.)；给…加燃料； 刺激 (vt.),,,
hostile,'hɒstaɪl,,敌方的， 不友善的 (adj.),,,
reign,reɪn,,当政， 统治； 占主导地位 (vi.)；君主的统治，君主的统治时期 (n.),,,
tempo,'tempəu,,速度； 节奏， 行进速度 (n.),,,
descendant,dɪ'sendənt,,后裔， 后代 (n.),,,
foresee,fɔː'siː,,预见， 预知 (vt.),,,
bruise,bruːz,,青肿，挫伤；伤痕，擦痕 (n.)；打青， 使受淤伤； 挫伤， 伤害 (vt.),,,
associate,ə'səuʃieɪt,,把…联系在一起；使联合，结合；交往	[ə'səuʃiət] (v.)；副的 (adj.)；伙伴，同事 (n.),,,
gown,gaun,,女礼服， 女裙服； 长袍； 罩衣 (n.),,,
crawl,krɔːl,,爬行， 蠕动； 缓慢行进 (n&v.),,,
identical,aɪ'dentɪkl,,完全相同的， 同一的 (adj.),,,
plead,pliːd,,恳求，请求；申诉，答辩，辩护 (vi.)；为…辩护， 提出…为理由 (vt.),,,
kidney,'kɪdni,,肾， 肾脏 (n.),,,
gleam,gliːm,,闪亮， 闪烁； 闪现， 流露 (n&vi.),,,
ambitious,æm'bɪʃəs,,有抱负的， 雄心勃勃的； 有野心的 (adj.),,,
academic,ˌækə'demɪk,,学院的；学术的；纯理论的，不切实际的 (adj.)；大学教师 (n.),,,
function,'fʌŋkʃn,,工作， 运行； 起作用 (vi.)；功能，职务；【数】函数；重大聚会 (n.),,,
stock,stɒk,,储备 (v.)；常用的， 常备的 (adj.)；原料，库存品；股本，公债；世系，血统；汤汁；家畜，牲畜 (n.),,,
sneak,sniːk,,偷偷地走，溜 (vi.)；偷偷地做 (vt.),,,
void,vɔɪd,,无效的；没有的，缺乏的 (adj.)；空虚感，寂寞感；真空，空白 (n.)；使无效 (vt.),,,
comparison,kəm'pærɪsn,,比较， 对照； 比拟， 比喻 (n.),,,
surge,sɜːdʒ,,蜂拥而出；洋溢，奔放；汹涌，奔腾 (vi.)；洋溢， 奔放； 急剧上升， 猛增； 浪涛般汹涌奔腾 (n.),,,
swap,swɒp,,交换 (n&v.),,,
ritual,'rɪtʃuəl,,作为仪式一部分的； 例行的 (adj.)；仪式；例行公事，老规矩 (n.),,,
liability,ˌlaɪə'bɪləti,,责任； 负债， 债务； 不利条件， 起妨碍作用的人 (n.),,,
hatch,hætʃ,,孵出；筹划， (vt.)；舱门； 开口； 孵化 (n.),,,
patriot,'peɪtriət,,爱国者， 爱国主义者 (n.),,,
tick,tɪk,,发出滴答声 (vi.)；记号，勾号；滴答声 (n.)；给…标记号 (vt.),,,
basis,'beɪsɪs,,基础， 根据； 原则 (n.),,,
tutor,'tjuːtə,,当…导师， 当…家庭教师 (v.)；导师；家庭教师，私人教师 (n.),,,
senator,'senətə,,参议员 (n.),,,
successive,sək'sesɪv,,连续的， 接连的 (adj.),,,
quantify,'kwɒntɪfaɪ,,确定…的数量， 量化 (vt.),,,
reconcile,'rekənsaɪl,,使协调； 使和解； 使顺从， 使甘心 (vt.),,,
tempt,tempt,,吸引， 引起…的兴趣； 引诱， 诱惑 (vt.),,,
obligation,ˌɒblɪ'geɪʃn,,义务， 责任 (n.),,,
paperback,'peɪpəbæk,,平装本， 简装本 (n.),,,
evil,'iːvl,,坏的 (adj.)；邪恶，祸害 (n.),,,
rarely,'reəli,,不常， 难得 (adv.),,,
hawk,hɔːk,,鹰，隼；“鹰派”人物 (n.)；叫卖， 兜售 (vt.),,,
twist,twɪst,,缠绕，盘绕；转动，旋动；捻，搓；歪曲，曲解；扭歪，扭伤；曲折前进；转身 (v.)；扭弯； 转折， 转变； 弯曲， 曲折处 (n.),,,
forthcoming,ˌfɔːθ'kʌmɪŋ,,即将到来的； 可得到的； 乐于提供消息的 (adj.),,,
patriotic,ˌpeɪtri'ɒtɪk,,爱国的， 有爱国心的， 显示爱国精神的 (adj.),,,
complication,ˌkɒmplɪ'keɪʃn,,困难， 难题； 并发症 (n.),,,
perplex,pə'pleks,,使困惑， 使费解； 使复杂化 (vt.),,,
combat,'kɒmbæt,,战争，斗争，格斗 (n.)；与…斗争， 与…战斗 (vt.),,,
despise,dɪ'spaɪz,,鄙视， 看不起 (vt.),,,
levy,'levi,,征收 (vt.)；征税， 税款 (n.),,,
indulge,ɪn'dʌldʒ,,沉溺， 纵容自己， 肆意从事 (vi.)；使沉溺于，满足；纵容，迁就 (vt.),,,
intimidate,ɪn'tɪmɪdeɪt,,恐吓， 威胁 (vt.),,,
effective,ɪ'fektɪv,,有效的； 有影响的 (adj.),,,
unity,'juːnəti,,单一， 统一， 团结； 和睦， 协调 (n.),,,
pursue,pə'sjuː,,继续， 从事； 追赶， 追踪； 追求 (vt.),,,
vulgar,'vʌlgə,,粗野的， 下流的； 庸俗的， 粗俗的 (adj.),,,
catastrophe,kə'tæstrəfi,,大灾难， 灾祸 (n.),,,
convey,kən'veɪ,,表达； 传递； 运送， 输送 (vt.),,,
design,dɪ'zaɪn,,设计；预定，指定 (vt.)；设计， 构想； 图样； 企图 (n.),,,
generous,'dʒenərəs,,慷慨的， 宽厚的； 大量的 (adj.),,,
coincidence,kəu'ɪnsɪdəns,,巧合， 巧事； 一致， 符合 (n.),,,
victim,'vɪktɪm,,牺牲者； 受害者 (n.),,,
bust,bʌst,,爆裂，坏掉 (vi.)；打破，打碎 (vt.)；胸像， 半身像； 胸部， 胸围 (n.),,,
skull,skʌl,,颅骨， 脑壳 (n.),,,
hysterical,hɪ'sterɪkl,,情绪异常激动的， 歇斯底里般的 (adj.),,,
lane,leɪn,,小路， 跑道； 航道， 航线 (n.),,,
contaminate,kən'tæmɪneɪt,,弄脏， 污染 (vt.),,,
ammunition,ˌæmju'nɪʃn,,弹药， 军火 (n.),,,
chief,tʃiːf,,主要的，为首的；总的 (adj.)；首领， 长官； 酋长， 族长 (n.),,,
accord,ə'kɔːd,,相符合， 相一致， 相和谐； 授予， 赠与， 给予 (v.)；一致，符合；谅解，协议 (n.),,,
foremost,'fɔːməust,,最好的， 最著名的， 最重要的 (adj.),,,
automatic,ˌɔːtə'mætɪk,,自动的； 必然发生的； 无意识的 (adj.)；自动机械 (n.),,,
despite,dɪ'spaɪt,,不管， 不顾 (prep.),,,
consecutive,kən'sekjətɪv,,连续的， 连贯的 (adj.),,,
probe,prəub,,探索，查究，调查；用探针探查，探测 (v.)；探针， 探测器； 探索， 调查 (n.),,,
assimilation,əˌsɪmə'leɪʃn,,同化， 同化作用； 消化 (n.),,,
groan,grəun,,呻吟，抱怨；发出呻吟般的声音 (vi.)；呻吟， 抱怨； 呻吟般的声音 (n.),,,
industrial,ɪn'dʌstriəl,,工业的， 产业的 (adj.),,,
conduct,'kɒndʌkt,,举止，行为；指导；管理，实施	[kən'dʌkt] (n.)；进行； 管理， 指挥， 引导； 传输， 传导 (vt.),,,
velvet,'velvɪt,,天鹅绒， 丝绒 (n.),,,
quantitative,'kwɒntɪtətɪv,,量的， 定量的 (adj.),,,
stable,'steɪbl,,稳定的，不变的；沉稳的，持重的 (adj.)；厩， 马厩， 牛棚 (n.),,,
reunion,riː'juːniən,,重聚， 团聚； 聚会， 联谊活动 (n.),,,
fantastic,fæn'tæstɪk,,极好的， 极出色的； 了不起的； 极大的； 难以相信的； 异想天开的， 不实际的； 奇异的， 古怪的 (adj.),,,
drainage,'dreɪnɪdʒ,,排水系统， 下水道； 排水， 放水 (n.),,,
respond,rɪ'spɒnd,,回答， 答复； 作出反应， 响应 (vi.),,,
incident,'ɪnsɪdənt,,发生的事， 事件 (n.),,,
lame,leɪm,,跛的， 瘸的； 站不住脚的， 差劲的； 蹩脚的 (adj.),,,
tub,tʌb,,桶， 塑料杯， 纸杯； 盆， 洗澡盆， 浴缸 (n.),,,
cluster,'klʌstə,,群集，丛生 (vi.)；串，簇；群，组 (n.)；使群集， 集中 (vt.),,,
prey,preɪ,,捕食； 折磨， 使烦恼 (vi.)；被捕食的动物，捕获物；受害者 (n.),,,
apparatus,ˌæpə'reɪtəs,,器械， 器具， 仪器； 机构， 组织 (n.),,,
lieutenant,lef'tenənt,,陆军中尉； 海军上尉 (n.),,,
tug,tʌg,,用力拖 (v.)；拖船； 猛拉， 牵引 (n.),,,
expedition,ˌekspə'dɪʃn,,旅行， 远征； 远征队， 探险队， 考察队； 迅速， 动作敏捷 (n.),,,
decay,dɪ'keɪ,,腐烂，衰败 (vi.)；腐烂， 衰败状态 (n.),,,
grieve,griːv,,感到悲痛，伤心 (vi.)；使伤心， 为…而伤心 (vt.),,,
absorb,əb'sɔːb,,吸收； 吸引…的注意， 使全神贯注； 把…并入， 同化 (vt.),,,
concern,kən'sɜːn,,关切的事，有关的事；关心，挂念；关系，关联；公司，企业 (n.)；涉及， 有关； 使关心， 使担心 (vt.),,,
fracture,'fræktʃə,,断裂，折断 (v.)；裂缝， 裂痕； 折断 (n.),,,
rectify,'rektɪfaɪ,,纠正， 修复 (vt.),,,
integrity,ɪn'tegrəti,,正直， 诚实， 诚恳； 完整， 完全， 完善 (n.),,,
refrain,rɪ'freɪn,,抑制，克制，戒除 (vi.)；叠句， 副歌 (n.),,,
pact,pækt,,契约， 协定， 条约 (n.),,,
notation,nəu'teɪʃn,,记号， 标记法 (n.),,,
merge,mɜːdʒ,,结合， 合并， 合为一体 (v.),,,
liable,'laɪəbl,,易于…的， 可能的 (adj.),,,
recycle,ˌriː'saɪkl,,回收利用 (vt.),,,
dock,'dɒk,,靠码头， 进港 (vi.)；码头，船埠；被告席 (n.)；使靠码头；扣 (vt.),,,
marsh,mɑːʃ,,沼泽， 湿地 (n.),,,
element,'elɪmənt,,成分， 要素， 元素； 基础， 纲要； 自然力 (n.),,,
confidential,ˌkɒnfɪ'denʃl,,秘密的， 机密的； 表示信任的； 担任机密工作的 (adj.),,,
abundant,ə'bʌndənt,,丰富的， 富裕的； 大量的， 充足的 (adj.),,,
exclaim,ɪk'skleɪm,,呼喊， 惊叫 (vi.),,,
ballet,'bæleɪ,,芭蕾舞， 芭蕾舞剧； 芭蕾舞团 (n.),,,
mute,mjuːt,,缄默的，无声的；哑的，不会说话的；不发音的 (adj.)；消除， 减轻 (vt.),,,
courtesy,'kɜːtəsi,,谦恭有礼； 有礼貌的举止 (n.),,,
deteriorate,dɪ'tɪəriəreɪt,,恶化， 变坏 (vi.),,,
warehouse,'weəhaus,,仓库， 货栈 (n.),,,
recognize,'rekəgnaɪz,,认出， 识别； 承认， 确认， 认可； 赏识， 表彰， 报偿 (vt.),,,
restraint,rɪ'streɪnt,,抑制， 限制， 克制； 约束措施， 约束条件 (n.),,,
pollutant,pə'luːtənt,,污染物质 (n.),,,
