word,phonetic,pos,meaning,example,example_trans,image_url
bicycle,ˈbaɪsɪk(ə)l,n.,n. 自行车；vt. 骑自行车运送；vi. 骑脚踏车,,,
bikes,baɪks,n.,n. 自行车( bike的名词复数 )；v. 自行车( bike的第三人称单数 ),,,
bridges,ˈbrɪdʒɪz,n.,n. [交] 桥梁；纽带（bridge的复数）；vt. 架桥于；把…弥合起来（bridge的第三人称单数）,,,
bones,bəʊnz,n.,n. 骨骼；身体；争议点（bone的复数）；v. 剔去…的骨；专心致志（bone的第三人称单数）,,,
books,bʊks,n.,n. 书籍（book的复数）；书评；v. 预订；领会（book的第三人称单数）；把…记载入册,,,
bookshop,ˈbʊkʃɒp,n.,n. 书店,,,
bookkeeping,ˈbʊkkiːpɪŋ,n.,n. 记帐，簿记,,,
booklet,ˈbʊklət,n.,n. 小册子,,,
bus,bʌs,n.,n. 公共汽车；乘公共汽车,,,
bus stop,,n.,n. 公共汽车停靠站,,,
bus service,,un.,un. 汽车接送,,,
bus tickets,,,公共汽车票,,,
business,ˈbɪznəs,n.,n. 商业；[贸易] 生意；[贸易] 交易；事情,,,
business management,'biznis'mænidʒmənt,un.,un. 企业管理,,,
business cards,,n.,n. 名片( business card的名词复数 ); 商业名片,,,
business plan,,, 商业计划书；经营规划；经营计划,,,
business area,,un.,un. 商业区,,,
business visits,,,无,,,
cafe,ˈkæfeɪ,n.,n. 咖啡馆；小餐馆,,,
cameras,,n.,n. 摄像机，照相机（camera的复数形式）,,,
cars,kɑːz,abbr.,abbr. 中美洲研究站（Central America Research Station）；abbr. 计算机化自动额定值系统（computerized automatic rating system）；abbr. 汽车收据结账证书（Certificates for Automobile Receivables）；n. (cars) 汽车（复数）,,,
car-park,ˈkɑː pɑːk,n.,n. 停车场,,,
car tyres,,, 汽车轮胎；求购汽车轮胎；小汽车轮胎图片,,,
cash,kæʃ,n.,n. 现款，现金；vt. 将…兑现；支付现款,,,
cashier,kæˈʃɪə(r),n.,n. 出纳员；司库；收银员；vt. 解雇；抛弃,,,
cash machine,ˈkæʃ məʃiːn,n.,n. 自动取款机,,,
castles,,,"城堡，堡垒（castle的名词复数）；置于城堡中；(棋)移动王车易位；巨大建筑物（城堡,船楼）,卡斯图尔；国际象棋车",,,
central,ˈsentrəl,n.,n. 电话总机；adj. 中心的；主要的；中枢的,,,
centre,ˈsentə(r),n.,n. 中心；adj. 中央的；vt. 集中；将…放在中央；vi. 以…为中心,,,
central station,,na.,na. 中央发电厂,,,
central heating,ˌsentrəl ˈhiːtɪŋ,n.,n. 暖气；集中供暖,,,
certificate,səˈtɪfɪkət,n.,n. 证书；执照，文凭；vt. 发给证明书；以证书形式授权给…；用证书批准,,,
change,tʃeɪndʒ,n.,n. 变化；找回的零钱；vt. 改变；交换；vi. 改变；兑换,,,
changing room,,n.,n. （尤指做运动前使用的）更衣室,,,
chemical,ˈkemɪkl,n.,n. 化学制品，化学药品；adj. 化学的,,,
chemical contaminants,,,无,,,
chemist,ˈkemɪst,n.,n. 化学家；化学工作者；药剂师；炼金术士,,,
chemistry lab,,,化学实验室,,,
children,ˈtʃɪldrən,n.,n. 孩子们（child的复数）,,,
children education,,,无,,,
closed,kləʊzd,v.,v. 关；结束；接近（close的过去分词）；adj. 关着的；不公开的,,,
closed down,,v.,v. 关闭；关门；倒闭；歇业,,,
cleaning,ˈkliːnɪŋ,n.,n. 清洗；清除；去污；大败；v. 清洁（clean的ing形式）,,,
cleaner,ˈkliːnə(r),n.,n. [化工] 清洁剂；清洁工；干洗店；干洗商；洗洁器,,,
cleanest,ˈkliːnɪst,adj.,adj. 清洁的( clean的最高级 ); 整齐的; 新的; 正派的,,,
clean products,,,无,,,
clothes,kləʊðz,n.,n. 衣服,,,
clothing,ˈkləʊðɪŋ,n.,n. （总称）[服装] 服装；帆装；v. 覆盖（clothe的ing形式）；给…穿衣,,,
clothing sections,,,无,,,
climate,ˈklaɪmət,n.,n. 气候；风气；思潮；风土,,,
clubs,klʌbz,n.,n. 俱乐部；社团（club的复数）；（扑克牌）梅花；v. 用棍棒打（club的第三人称单数形式）,,,
clubhouse,ˈklʌbhaʊs,n.,n. 俱乐部会所，俱乐部,,,
club office,,,无,,,
cinemas,,n.,n. 电影院（cinema的复数）,,,
cities,'sɪtɪz,n.,n. 城市（city的复数）,,,
city council,,na.,na. 市参议会,,,
city centre,,, 市中心；城市中心；城中心,,,
citizen,ˈsɪtɪz(ə)n,n.,n. 公民；市民；老百姓,,,
coffee,ˈkɒfi,n.,n. 咖啡；咖啡豆；咖啡色,,,
coffee table,,n.,n. 茶几；咖啡桌,,,
coffee machine,,n.,n. 投币咖啡机,,,
color,ˈkʌlə(r),n.,n. 颜色；肤色；颜料；脸色；vt. 粉饰；给...涂颜色；歪曲；vi. 变色；获得颜色,,,
colours,'kʌləs,n.,n. 颜色；特色；旗帜；外表（colour的复数）；v. 影响（colour的单三形式）；给…着色,,,
coloured,ˈkʌləd,n.,n. 混血人；有色人种的人；adj. 有色的；着色的；vt. 给…着色（colour的过去式和过去分词）,,,
colour photos,,,无,,,
competitions,,n.,n. 比赛，[生态] 竞争（competition的复数形式）,,,
competitive,kəmˈpetətɪv,adj.,adj. 竞争的；比赛的；求胜心切的,,,
computers,kəmˈpjuːtəz,n.,n. [计] 计算机，[计] 电脑（computer的复数）,,,
computer centre,,,计算机中心,,,
computer programmer,,un.,un. 计算机程序员；计算机程序设计员；计算机程设计员,,,
computer office,,,无,,,
computer science,,n.,n. 计算机科学,,,
communication,kəˌmjuːnɪˈkeɪʃ(ə)n,n.,n. 通讯，[通信] 通信；交流；信函,,,
communication system,,un.,un. 通信系统；交流系统；传播系统,,,
common,ˈkɒmən,n.,n. 普通；平民；公有地；adj. 共同的；普通的；一般的；通常的,,,
common room,,n.,n. （学校、学院等的）公共休息室,,,
conference,ˈkɒnfərəns,n.,n. 会议；讨论；协商；联盟；（正式）讨论会；[工会、工党用语]（每年的）大会；vi. 举行或参加（系列）会议,,,
conference centre,,, 会议中心,,,
conference hall,,un.,un. 会议庭,,,
conference pack,,,无,,,
confidence,ˈkɒnfɪdəns,n.,n. 信心；信任；秘密；adj. （美）诈骗的；骗得信任的,,,
culture,ˈkʌltʃə(r),n.,n. 文化，文明；修养；栽培；vt. [细胞][微] 培养（等于cultivate）,,,
culture context,,,无,,,
culture awareness,,, 文化意识；文化意识目标；文化觉识,,,
dance,dɑːns,n.,n. 舞蹈；舞会；舞曲；adj. 舞蹈的；用于跳舞的；vt. 跳舞；使跳跃；vi. 跳舞；跳跃；飘扬,,,
dance class,,,无,,,
dance show,,,无,,,
deserts,dɪˈzɜːts,n.,n. [地理] 沙漠；[农] 荒原（desert的复数）；应得到的报应；v. 放弃；遗弃（desert的第三人称单数）,,,
desert locations,,,无,,,
disease,dɪˈziːz,n.,n. 病，[医] 疾病；弊病；vt. 传染；使…有病,,,
discussion,dɪˈskʌʃ(ə)n,n.,n. 讨论，议论,,,
discussion group,,n.,n. 讨论组,,,
distance,ˈdɪstəns,n.,n. 距离；远方；疏远；间隔；vt. 疏远；把…远远甩在后面,,,
distance learning,,n.,n. 远程教育；远程学习,,,
drive,draɪv,n.,n. 驱动器；驾车；[心理] 内驱力，推进力；快车道；vi. 开车；猛击；飞跑；vt. 推动，发动（机器等）；驾驶（马车，汽车等）；驱赶,,,
driver,ˈdraɪvə(r),n.,n. 驾驶员；驱动程序；起子；传动器,,,
driving,ˈdraɪvɪŋ,n.,n. 驾驶；操纵；adj. 强劲的；推进的；精力旺盛的；v. 驾驶（drive的ing形式）,,,
driving license,,n.,n. 驾驶执照,,,
drinks,drɪŋks,n.,n. 饮料，饮品；喝酒（drink复数）,,,
drinking,ˈdrɪŋkɪŋ,n.,n. 喝，饮；喝酒；v. 饮（drink的ing形式）；喝,,,
drinking machines,,,无,,,
double,ˈdʌb(ə)l,n.,n. 两倍；双精度型；adj. 双重的；两倍的；vt. 使加倍；adv. 双重地；两倍地；弓身地；vi. 加倍，加倍努力；快步走,,,
double-grill,,,无,,,
double room,,n.,n. 双人房间,,,
education,ˌedʒuˈkeɪʃn,n.,n. 教育；培养；教育学,,,
education system,,, 教育系统；教育制度；教育体制,,,
education department,,, 教育部；教育司；教育署,,,
education officer,,, 教育主任；教育官员；教育事务主任,,,
education plan,,,无,,,
electronic,ɪˌlekˈtrɒnɪk,adj.,adj. 电子的；n. 电子电路；电子器件,,,
electric cars,,, 电动汽车；电动车；电力车,,,
electronic directory,,,电子电话簿,,,
electronic card,,, 电子贺卡；电子卡；内存控制块,,,
electricity,ɪˌlekˈtrɪsəti,n.,n. 电力；电流；强烈的紧张情绪,,,
electricity supply,,n.,n. 电力供应,,,
emails,ˈiːmeɪl,n.,n. 电子信函；vt. 给…发电子邮件,,,
email address,,,"电子邮件地址,(用以传送电子邮件的指定地址)",,,
engineers,,n.,n. [经管] 工程师；机械师（engineer的复数）；v. 设计（engineer的单三形式）；建造,,,
engineering,ˌendʒɪˈnɪərɪŋ,n.,n. 工程，工程学；v. 设计；管理（engineer的ing形式）；建造,,,
environmental,ɪnˌvaɪrənˈment(ə)l,adj.,adj. 环境的，周围的；有关环境的,,,
environment agency,,, 英国环境署；环境局；英国环境局,,,
environment damage,,,无,,,
energy,ˈenədʒi,n.,n. [物] 能量；精力；活力；精神,,,
energy saving,,n.,n. 节能,,,
eyes,aɪz,n.,n. 眼睛（eye的复数）,,,
eyedrops,ˈaɪˌdrɒps,n.,n. 眼药水；滴眼剂；眼泪（eyedrop的复数）,,,
eyesight,ˈaɪsaɪt,n.,n. 视力；目力,,,
eye contacts,,,目光接触；眼神交会,,,
families,'fæmɪlɪz,n.,n. 家庭（family的复数）；家族,,,
family photo,,, 全家福；家庭照片；全家福照片,,,
family ticket,,,无,,,
family relationship,,, 家庭关系；亲情关系；家庭亲属关系的称呼,,,
family members,,, 家庭成员；家庭成员数目；家人,,,
farmers,,n.,n. [农] 农民（farmer的复数）,,,
farming,ˈfɑːmɪŋ,n.,n. 农业，耕作；v. 耕种；出租（farm的ing形式）,,,
farming products,,,无,,,
feedback,ˈfiːdbæk,n.,n. 反馈；成果，资料；回复,,,
feeding,ˈfiːdɪŋ,n.,n. 饲养；吃；输送；v. 饲养（feed的ing形式）；adj. 供给饲料的；摄取食物的,,,
feeding time,,un.,un. 供片时间；供料时间,,,
feed the shark,,,无,,,
feed animals,,,无,,,
flat,flæt,n.,n. 平地；公寓；平面；adj. 平的；单调的；不景气的；干脆的；平坦的；扁平的；浅的；vi. 逐渐变平；[音乐]以降调唱（或奏）；vt. 使变平；[音乐]使（音调）下降，尤指降半音；adv. （尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地,,,
flexible,ˈfleksəb(ə)l,adj.,adj. 灵活的；柔韧的；易弯曲的,,,
flooding,ˈflʌdɪŋ,n.,n. 泛滥；产后出血,,,
floodwater,ˈflʌdwɔːtə(r),n.,n. 洪水,,,
flowers,ˈflaʊəz,,[植] 花（flower的复数）,,,
films,,n.,n. [电影] 电影；薄膜；[感光] 胶片（film的复数）；v. 拍摄（film的第三人称单数）；以薄膜覆盖,,,
financial,faɪˈnænʃ(ə)l,adj.,adj. 金融的；财政的，财务的,,,
financial results,,, 财务业绩；财务结算；财报,,,
finance,ˈfaɪnæns,n.,n. 财政，财政学；金融；vt. 负担经费，供给…经费；vi. 筹措资金,,,
finance office,,,无,,,
finance market,,,金融市场,,,
fire,ˈfaɪə(r),n.,n. 火；火灾；炮火；炉火；热情；激情；磨难；vt. 点燃；解雇；开除；使发光；烧制；激动；放枪；vi. 着火；射击；开枪；激动；烧火,,,
firework,ˈfaɪəwɜːk,n.,n. 烟火；激烈情绪,,,
fireplaces,,n.,n. 壁炉( fireplace的名词复数 ),,,
fire drill,,n.,n. 消防演习,,,
firewood,ˈfaɪəwʊd,n.,n. 柴火；木柴,,,
fish,fɪʃ,n.,n. 鱼，鱼类；vt. 钓鱼，捕鱼；搜寻；vi. 捕鱼，钓鱼；用钩捞取,,,
fish farm,,n.,n. 养鱼场,,,
fish industry,,,无,,,
fish cake,,na.,na. 鱼丸子,,,
fishing,ˈfɪʃɪŋ,n.,n. 渔业；捕鱼（术）；试探；装配；adj. 钓鱼的；钓鱼用的；v. 捕鱼（fish的ing形式）,,,
fishing lesson,,,无,,,
fishing boats,,, 渔船；渔船图片；钓鱼艇,,,
free,friː,adj.,adj. 免费的；自由的，不受约束的；[化学] 游离的；vt. 使自由，解放；释放；adv. 自由地；免费,,,
free parking,,,无,,,
free transportation,,,无,,,
free meal,,,无,,,
free entry,,un.,un. 自由加入；免税报单；免税进口申报,,,
free booklet,,,无,,,
free drink,,,无,,,
friends,frendz,n.,n. 朋友( friend的名词复数 ),,,
friendly,ˈfrendli,adj.,adj. 友好的；亲切的；支持的；融洽的，和睦的；adv. 友善地；温和地,,,
friendship,ˈfrendʃɪp,n.,n. 友谊；友爱；友善,,,
forests,,n.,n. 森林；森林经济（forest的复数形式）,,,
forest campsite,,,无,,,
forestry,ˈfɒrɪstri,n.,n. 林业；森林地；林学,,,
foods,fuːdz,n.,n. [食品] 食品,,,
food source,,, 食物来源；来源食物；食源,,,
food intake,,un.,un. 食物摄入,,,
food chain,ˈfuːd tʃeɪn,n.,n. 食物链,,,
food containers,,,"《英文msh词典》Food Containers；[同义词] Food Containers；[主题词] Food Packaging；[中文释义] 食品容器；[英文释义] Containers,packaging,and packaging materials for processed and raw foods and beverages. It includes packaging intended to be used for storage and also used for preparation of foods such as microwave food containers versus COOKING AND EATING UTENSILS. Packaging materials may be intended for food contact or designated non-contact,for example,shipping containers. FOOD LABELING is also available.",,,
food supply,,un.,un. 食品供应；养分供应,,,
furniture,ˈfɜːnɪtʃə(r),n.,n. 家具；设备；储藏物,,,
garden,ˈɡɑːdn,n.,n. 花园；菜园；vt. 栽培花木；vi. 从事园艺；在园中种植,,,
garden tools,,, 园林工具；园艺工具；花园工具,,,
gardening,ˈɡɑːdnɪŋ,n.,n. 园艺；园林工人的工作,,,
garage,ˈɡærɑːʒ,n.,n. 车库；汽车修理厂；飞机库；vt. 把……送入车库；把（汽车）开进车库,,,
glasses,ˈɡlɑːsɪz,n.,n. [轻] 眼镜；玻璃（glass的复数形式）；双筒望远镜；v. 把…装入玻璃容器内；给…装上玻璃（glass的第三人称单数形式）,,,
glass roof,,un.,un. 玻璃屋顶,,,
global,ˈɡləʊb(ə)l,adj.,adj. 全球的；总体的；球形的,,,
global market,,, 全球市场；环球市场；国际市场,,,
global payments,,,无,,,
global warming,,n.,n. 全球（气候）变暖；地球大气层变暖,,,
government,ˈɡʌvənmənt,n.,n. 政府；政体；管辖,,,
government election,,,无,,,
government agencies,,, 政府机构；政府机关；国家机关,,,
government policy,,, 政府政策；政策支持；政府的政策,,,
grasses,'gra:siz,n.,n. 草地（grass的复数）；稻科植物类；禾本种；v. 放牧（grass的三单形式）；使长满草,,,
ground,ɡraʊnd,n.,n. 地面；土地；范围；战场;根据；v. 研磨（grind的过去分词）；压迫；adj. 土地的；地面上的；磨碎的；磨过的；vt. 使接触地面；打基础；使搁浅；vi. 着陆；搁浅,,,
ground floor,,n.,n. 底层,,,
ground plan,ˈɡraʊnd plæn,n.,n. （建筑物的）底层平面图；计划；大纲,,,
groups,ɡruːps,n.,n. 群组，组；团体（group的复数形式）；用户组；v. 分组，归类（group的第三人称单数）；聚合,,,
group discussion,,n.,n. 小组讨论,,,
group meetings,,,"《英文msh词典》Group Meetings；[入口词] Group Meetings；[主题词] Group Processes；[英文释义] The procedures through which a group approaches,attacks,and solves a common problem.",,,
group size,,, 团体大小；组团人数；团体的大小,,,
group trip,,,无,,,
gym,dʒɪm,n.,n. 健身房；体育；体育馆,,,
guide,ɡaɪd,n.,n. 指南；向导；入门书；vt. 引导；带领；操纵；vi. 担任向导,,,
guideline,ˈɡaɪdlaɪn,n.,n. 指导方针；参考,,,
guided tour,,un.,un. 有导游的观光旅游,,,
healthy,ˈhelθi,adj.,adj. 健康的，健全的；有益于健康的,,,
health problem,,, 健康问题；健康话题；健康的状况,,,
health care,,n.,n. 医疗保健；医疗卫生,,,
health service,,n.,n. 公共医疗保健服务,,,
health check,helθ tʃek,un.,un. 健康检查,,,
health department,,, 卫生部；卫生厅；卫生署,,,
health club,ˈhelθ klʌb,n.,n. 健身俱乐部,,,
heart,hɑːt,n.,n. 心脏；感情；勇气；心形；要点；vt. 鼓励；铭记；vi. 结心,,,
heart rate,,n.,n. 心率,,,
heart disease,,na.,na. 心脏病,,,
helicopter,ˈhelɪkɒptə(r),n.,n. [航] 直升飞机；vt. 由直升机运送；vi. [航] 乘直升飞机,,,
horses,'hɔ:sɪz,n.,n. 马；马匹（horse的复数形式）；v. 骑马；捉弄（horse的第三人称单数形式）,,,
horse riding,,n.,n. 骑马,,,
horse hair,,un.,un. 马鬃,,,
housing,ˈhaʊzɪŋ,n.,n. 房屋；住房供给；[机] 外壳；遮盖物；机器等的防护外壳或外罩,,,
house key,,, 房锁匙；世纪不动产和美国百世勤,,,
house insurance,,, 房屋保险；找房屋保险公司；住宅保险,,,
income,ˈɪnkʌm,n.,n. 收入，收益；所得,,,
incoming call,,n.,n. 打进来的电话,,,
information,ˌɪnfəˈmeɪʃn,n.,n. 信息，资料；知识；情报；通知,,,
information sectors,,,无,,,
information desk,,na.,na. 问讯处,,,
insects,ˈɪnsekts,n.,n. [昆] 昆虫；昆虫类，昆虫纲（insect的复数形式）,,,
insurance,ɪnˈʃʊərəns,n.,n. 保险；保险费；保险契约；赔偿金,,,
insurance company,,na.,na. 保险公司,,,
international,ˌɪntəˈnæʃ(ə)nəl,n.,n. 国际组织；国际体育比赛；外国居留者；国际股票；adj. 国际的；两国（或以上）国家的；超越国界的；国际关系的；世界的,,,
international house,,,无,,,
international express,,,无,,,
international studies,,, 国际研究；国际关系；国际问题研究,,,
Internet,ˈɪntənet,n.,n. 因特网,,,
Internet cafe,,, 网吧；网咖；一家网吧,,,
Internet line,,,无,,,
Internet connection,,, 网络连接；网际网路连线；互联网连接,,,
interviews,,n.,n. 访谈；面试；面谈（interview的复数）；v. 面试（interview的三单形式）；接见,,,
interview skills,,,无,,,
interview questions,,, 面试问题；访谈问题；面试题,,,
jobs,d'ʒɒbz,n.,n. 工作（job的复数形式）,,,
job interviews,,, 求职面试；工作面试；参加面试,,,
kitchen,ˈkɪtʃɪn,n.,n. 厨房；炊具；炊事人员,,,
kitchen area,,, 厨房区域；厨房区域，注意连读；美食街,,,
kitchen hand,,, 厨房帮工；厨房帮手；厨房助手,,,
lakes,leɪks,n.,n. 湖( lake的名词复数 ); 湖泊,,,
lakeside,ˈleɪksaɪd,n.,n. 湖边,,,
library,ˈlaɪbrəri; ˈlaɪbri,n.,n. 图书馆，藏书室；文库,,,
lights,laɪts,n.,n. 灯光（light的复数）；（供食用的）家畜的肺脏；v. 点亮（light的三单形式）,,,
lighting,ˈlaɪtɪŋ,n.,n. 照明设备，舞台灯光；v. 照明；点燃（light的ing形式）,,,
local,ˈləʊk(ə)l,n.,n. [计] 局部；当地居民；本地新闻；adj. 当地的；局部的；地方性的；乡土的,,,
local shops,,,无,,,
local schools,,,无,,,
local museum,,,无,,,
local tribes,,,无,,,
local newspaper,,, 地方报纸；当地报纸；当地报刊,,,
local community,,un.,un. 地方团体,,,
lock,lɒk,vt.,vt. 锁，锁上；隐藏；vi. 锁；锁住；卡住；n. 锁；水闸；刹车,,,
lockers,,n.,n. 寄物柜( locker的名词复数 ),,,
lock-up garage,,, 上锁的车库,,,
magazines,'mæɡəzi:nz,n.,n. 杂志（magazine的复数）,,,
manager,ˈmænɪdʒə(r),n.,n. 经理；管理人员,,,
management,ˈmænɪdʒmənt,n.,n. 管理；管理人员；管理部门；操纵；经营手段,,,
maps,mæps,abbr.,abbr. 管理分析与规划系统（Management Analysis and Planning System）,,,
mapping,ˈmæpɪŋ,v.,v. 绘图；筹划（map的ing形式）；n. 地图；绘图；[数] 映像,,,
market,ˈmɑːkɪt,n.,n. 市场；行情；股票市场；市面；集市；销路；商店；vt. 在市场上出售；vi. 做买卖,,,
marketing,ˈmɑːkɪtɪŋ,n.,n. 行销，销售；v. 出售；在市场上进行交易；使…上市（market的ing形式）,,,
market garden,,n.,n. 蔬菜农场,,,
materials,məˈtɪəriəlz,n.,n. [材] 材料；材质（material的复数）；材料科学；材料费,,,
math,mæθ,n.,n. 数学（等于mathematics）,,,
mathematics,ˌmæθəˈmætɪks,n.,n. 数学；数学运算,,,
messages,,n.,n. [计][通信] 信息，留言板（message的复数形式）；v. 作文电发出；用文电通知（message的第三人称单数形式）,,,
media,ˈmiːdiə,n.,n. 媒体；媒质（medium的复数）；血管中层；浊塞音；中脉,,,
media room,,, 媒体室；媒体屋；多媒体影音室,,,
media studies,,n.,n. 大众传播学；大众传媒学,,,
multimedia resources,,,无,,,
medication,ˌmedɪˈkeɪʃn,n.,n. 药物；药物治疗；药物处理,,,
medicines,,n.,n. 药品；药物；医药（medicine的复数形式）；v. 给…服药；用药治病（medicine的第三人称单数）,,,
medical centre,,, 医疗中心；医务中心；医疗体检中心,,,
methods,ˈmeθədz,n.,n. 方法，方式；研究方法（method的复数）,,,
methodology,ˌmeθəˈdɒlədʒi,n.,n. 方法学，方法论,,,
microscope,ˈmaɪkrəskəʊp,n.,n. 显微镜,,,
microbiology,ˌmaɪkrəʊbaɪˈɒlədʒi,n.,n. 微生物学,,,
microwave,ˈmaɪkrəweɪv,n.,n. 微波,,,
micro-radiogram,,,[医] 显微放射照片术,,,
micro film,,, 微电影,,,
mining,ˈmaɪnɪŋ,n.,n. 矿业；采矿,,,
minerals,,n.,n. 矿物；矿产，矿产品（mineral的复数）；矿物质,,,
mineral soil,,,矿质土,,,
mountains,ˈmaʊntənz,n.,n. 山脉；[地理] 山区；山岳（mountain的复数）,,,
mountain bike,ˈmaʊntən baɪk,n.,n. 山地自行车；越野单车,,,
museum,mjuˈziːəm,n.,n. 博物馆,,,
music,ˈmjuːzɪk,n.,n. 音乐，乐曲,,,
music video,,, 音乐录影带；音乐录像带；音乐影片,,,
music festival,,, 音乐节；音乐节介绍；音乐夏令营之随写二,,,
national park,,n.,n. 国家公园,,,
national holidays,,na.,na. 国定假日；国庆日,,,
national newspaper,,, 全国性报纸；国家级报纸；全国性报刊,,,
natural,ˈnætʃrəl,adj.,adj. 自然的；物质的；天生的；不做作的；n. 自然的事情；白痴；本位音,,,
natural medicine,,, 自然医学；天然药物；何谓自然医学,,,
natural gas,ˈnætʃrəl ˈɡæs,n.,n. 天然气,,,
newspapers,ˈnjuːzˌpeɪpəz,n.,n. 报纸，报章（newspaper的复数）；v. 从事报纸工作（newspaper的三单形式）,,,
numbers,ˈnʌmbəz,n.,n. [数] 数字（number的复数）；算术,,,
notes,nəʊts,n.,n. 注释，说明，笔记（note复数）；[金融] 票据,,,
note-taking,,n.,n. 笔记，记笔记；随手记,,,
note system,,,无,,,
notebook,ˈnəʊtbʊk,n.,n. 笔记本，笔记簿；手册,,,
noisy,ˈnɔɪzi,adj.,adj. .嘈杂的；喧闹的；聒噪的,,,
office,ˈɒfɪs,n.,n. 办公室；政府机关；官职；营业处,,,
office assistant,,, 办公室助理；办公室文员；写字楼助理,,,
oil,ɔɪl,n.,n. 油；石油；油画颜料；vt. 加油；涂油；使融化；vi. 融化；加燃油,,,
oil filter,,un.,un. 滤油器；油性过滤器；滑油滤,,,
organize,ˈɔːɡənaɪz,vt.,vt. 组织；使有系统化；给予生机；组织成立工会等；vi. 组织起来；成立组织,,,
organization,ˌɔːɡənaɪˈzeɪʃn,n.,n. 组织；机构；体制；团体,,,
outdoor,ˈaʊtdɔː(r),adj.,adj. 户外的；露天的；野外的（等于out-of-door）,,,
outside,ˌaʊtˈsaɪd,adj.,adj. 外面的，外部的；外来的；n. 外部；外观；adv. 在外面，向外面；在室外；prep. 在…范围之外,,,
packing,ˈpækɪŋ,n.,n. 包装；填充物；v. 包装；装满；压紧（pack的ing形式）,,,
packing materials,,un.,un. 包装材料,,,
package,ˈpækɪdʒ,n.,n. 包，包裹；套装软件，[计] 程序包；adj. 一揽子的；vt. 打包；将…包装,,,
packaging,ˈpækɪdʒɪŋ,n.,n. 包装；包装业，包装风格；v. 包装（package的ing形式）,,,
parks,,n.,n. 公园( park的名词复数 ); 停车场,,,
parking,ˈpɑːkɪŋ,n.,n. 停车；adj. 停车的；v. 停车（park的ing形式）,,,
parking lot,,n.,n. 停车场,,,
parking space,,n.,n. 停车场,,,
passport,ˈpɑːspɔːt,n.,n. 护照，通行证；手段,,,
passport photos,,, 护照照片；护照大小的相片；签证照片,,,
person,ˈpɜːs(ə)n,n.,n. 人；身体；容貌，外表；人称,,,
personal,ˈpɜːsən(ə)l,n.,n. 人事消息栏；人称代名词；adj. 个人的；身体的；亲自的,,,
personal interest,,un.,un. 个人利益,,,
personal alarm,,,无,,,
personality,ˌpɜːsəˈnæləti,n.,n. 个性；品格；名人,,,
