word,phonetic,pos,meaning,example,example_trans,image_url
afterward,'ɑːftəwəd,ad.,ad. 后来,,,
again,ə'gen; ə'geɪn,ad.,ad. 再一次；再，又,,,
against,ə'genst; ə'geɪnst,prep.,prep. 对着，反对,,,
age,eɪdʒ,n.,n. 年龄；时代,,,
agency,'eɪdʒənsi,n.,n. 代理机构,,,
agenda,ə'dʒendə,n.,n. （会议）议程表，议事日程,,,
agent,'eɪdʒ(ə)nt,n.,n. 代理人，经济人,,,
aggression,ə'greʃn,n.,n. 侵略,,,
aggressive,ə'gresɪv,a.,a. 侵略的；咄咄逼人,,,
ago,ə'gəʊ,ad.,ad. 以前,,,
agree,ə'griː,v.,v. 同意；应允,,,
agreement,ə'griːm(ə)nt,n.,n. 同意，一致；协定，协议,,,
agricultural,æɡrɪ'kʌltʃərəl,a.,a. 农业的,,,
agriculture,'ægrɪkʌltʃə,n.,n. 农业，农学,,,
ahead,ə'hed,ad.,ad. 在前，向前,,,
aid,eɪd,n.,n. 援助；救护；辅助器具,,,
AIDS,eɪdz,n.,n. 艾滋病,,,
aim,eɪm,n.,n.目的；目标 v. 计划，打算；瞄准；针对,,,
air,eə,n.,n. 空气；大气,,,
aircraft,'eəkrɑːft,n.,n. 飞机 (单复数同),,,
airline,'eəlaɪn,n.,n. 航空公司；航空系统,,,
airmail,'eəmeɪl,n.,n. 航空邮件,,,
airplane,'eəpleɪn,n.,n. （美）飞机,,,
airport,'eəpɔːt,n.,n. 航空站，飞机场,,,
airspace,'eəspeɪs,n.,"n.领空,（某国的）空域",,,
alarm,ə'lɑːrm,n.,n. 警报,,,
album,'ælbəm,n.,n. 相册，影集，集邮簿,,,
alcohol,'ælkəhɒl,n.,n. 含酒精饮料，酒,,,
alcoholic,ælkə'hɒlɪk,a.,a. / n. 含酒精的，酒鬼,,,
algebra,'ældʒɪbrə,n.,n. 代数,,,
alike,ə'laɪk,ad.,ad. 很相似地，同样地,,,
alive,ə'laɪv,a.,a. 活着的，存在的,,,
all,ɔːl,ad.,ad. 全部地 a. 全（部）;所有的;总;整 pron.全部;全体人员,,,
allergic,ə'lɜːrdʒɪk,a.,a. 过敏的，厌恶,,,
alley,'æli,n.,n. 小巷，胡同,,,
allocate,'æləkeɪt,v.,"v. 拨给,划归,分配…给",,,
allow,ə'laʊ,vt.,vt. 允许，准许,,,
allowance,ə'laʊəns,n.,n. 津贴，补助,,,
almost,'ɔːlməʊst,ad.,ad. 几乎，差不多,,,
alone,ə'ləʊn,a.,a. 单独的，孤独的,,,
along,ə'lɒŋ,ad.,ad. 向前；和…一起；一同 prep. 沿着；顺着,,,
alongside,əlɒŋ'saɪd,ad.,"ad.在…旁边,与…同时",,,
aloud,ə'laʊd,ad.,ad. 大声地,,,
alphabet,'ælfəbet,n.,n. 字母表，字母,,,
already,ɔːl'redɪ,ad.,ad. 已经,,,
also,'ɔːlsəʊ,ad.,ad. 也,,,
alternative,ɔːl'tɜːrnətɪv,a.,"a.可供替代,非传统的",,,
although,ɔːl'ðəʊ; ɒl-,conj.,conj. 虽然，尽管,,,
altitude,'æltɪtjuːd,n.,n. 海拔高度,,,
altogether,ɔːltə'geðə; ɒl-,ad.,ad. 总共,,,
aluminium,æl(j)ʊ'mɪnɪəm,n.,n. （化）铝,,,
always,ˈɔ:lweɪz,ad.,ad. 总是；一直；永远,,,
am,æm,v.,v. be的人称形式之一 ,,,
a.m.,,n.,n. 午前，上午【小写】,,,
amateur,'æmətər,a.,a. 业余爱好的,,,
amaze,ə'meɪz,v.,v. 惊奇，惊叹；震惊,,,
amazing,ə'meɪzɪŋ,a.,"a.惊奇,惊叹的;震惊的",,,
ambassador ambassadress,æmˈbæsədə(r),n.,n.大使,,,
ambassadress,æm'bæsədres,n.,n.大使夫人；女大使,,,
ambiguous,æm'bɪgjuəs,a.,a. 模棱两可的,,,
ambition,æm'bɪʃ(ə)n,n.,"n.目标,野心,雄心,抱负",,,
ambulance,'æmbjuləns,n.,n. 救护车,,,
America,ə'merɪkə,,* n. 美国；美洲,,,
American,əˈmerɪkən,a.,a. 美国的；美国人的n. 美国人,,,
among,ə'mʌŋ,prep.,prep. 在…中间；在（三个以上）之间,,,
amount,ə'maʊnt,n.,n. / v. 金额，数量，总计,,,
ample,'æmpl,a.,a. 足够的，丰裕的,,,
amuse,ə'mjuːz,vt.,vt. （使人）快乐，逗乐,,,
amusement,ə'mjuːzmənt,n.,n. 娱乐,,,
analyze,'ænəlaɪz,v.,v. 分析,,,
analysis,ə'næləsɪs,n.,n. 分析，分析结果,,,
ancestor,'ænsestər,n.,n. 祖宗； 祖先,,,
anchor,'æŋkər,v.,v. / n. 锚，抛锚,,,
ancient,ˈeɪnʃənt,a.,a. 古代的，古老的,,,
and,ənd; (ə)n; ænd,conj.,conj. 和；又；而,,,
anecdote,'ænɪkdout,n.,n. 逸事，趣闻,,,
anger,'æŋgə,n.,n. 怒，愤怒,,,
angle,'æŋgl,n.,n. 角度,,,
angry,'æŋgrɪ,a.,a. 生气的，愤怒的,,,
animal,'ænɪm(ə)l,n.,n. 动物,,,
ankle,'æŋk(ə)l,n.,n. 踝，踝关节,,,
anniversary,ænɪ'vɜːs(ə)rɪ,n.,n. 周年纪念日,,,
announce,ə'nauns,vt.,vt. 宣布，宣告,,,
announcement,ə'naʊnsm(ə)nt,n.,n. 通告，通知,,,
annoy,ə'nɒɪ,vt.,vt. （使）烦恼,,,
annual,'ænjuəl,a.,a. 每年的，年度的，一年一次的,,,
another,ə'nʌðə,a.,a. 再一；另一；别的；不同的 pron. 另一个,,,
answer,'ɑːnsə,n.,"n.回答,答复;回信;答案 v.回答,答复;回信;（作出）答案",,,
ant,ænt,n.,n. 蚂蚁,,,
Antarctic,ænˈtɑːktɪk,a.,a. 南极的,,,
the Antarctic,ænˈtɑːktɪk,,南极,,,
Antarctica,ænˈtɑ:ktikə,,* n. 南极洲,,,
antique,æn'tiːk,n.,n. 古董,,,
anxiety,æŋ'zaɪətɪ,n.,n. 担忧，焦虑,,,
anxious,'æŋkʃəs,a.,a. 忧虑的，焦急的,,,
any,'enɪ,pron.,pron. （无论）哪一个；哪些 任何的；（用于疑问句、否定句）一些；什么,,,
anybody,'enɪbɒdɪ,pron.,pron. 任何人，无论谁,,,
anyhow,'enɪhaʊ,ad.,ad. 不管怎样,,,
anyone,'enɪwʌn,pron.,pron. 任何人，无论谁,,,
anything,'enɪθɪŋ,pron.,pron. 什么事（物）；任何事（物）,,,
anyway,'enɪweɪ,,y ad. 不管怎样,,,
anywhere,'enɪweə,ad.,ad. 任何地方,,,
apart,ə'pɑːt,,"ad, / a. 相隔，相距，除外",,,
apartment,ə'pɑːrtmənt,n.,n. （美）楼中单元房，一套房间；房间,,,
apologize,ə'pɑːlədʒaɪz,vi.,vi. 道歉，谢罪,,,
apology,ə'pɔlədʒi,n.,n. 道歉；歉意,,,
apparent,ə'pærənt,a.,a. 显而易见,,,
appeal,ə'piːl,v.,v. 上诉，申诉，吸引力,,,
appear,ə'pɪə,vi.,vi. 出现,,,
appearance,ə'pɪər(ə)ns,n.,n. 出现，露面；容貌,,,
appendix,ə'pendɪks,n.,n. 附录，阑尾,,,
appetite,'æpɪtaɪt,n.,n. 食欲，胃口,,,
applaud,ə'plɔːd,v.,"v. / n. 鼓掌,赞许,赞赏",,,
apple,'æp(ə)l,n.,n. 苹果,,,
applicant,'æplɪkənt,n.,n. 申请人,,,
application,ˌæplɪ'keɪʃn,n.,n. 申请,,,
apply,ə'plaɪ,v.,v. 申请,,,
appoint,ə'pɒɪnt,v.,v. 任命，委任，安排，确定（时间，地点）,,,
appointment,ə'pɔɪntmənt,n.,n. 约会,,,
appreciate,ə'priːʃieɪt,v.,v. 欣赏； 感激,,,
appreciation,əˌpriːʃi'eɪʃn,n.,"n. 欣赏,鉴定,评估",,,
approach,ə'proutʃ,n.,n. / v. 靠近，接近，建议，要求,,,
appropriate,əˈprəʊprɪət;(for v.)əˈprəʊprɪeɪt,a.,a. 合适的，恰当的,,,
approve,ə'pruːv,v.,"v.赞成,同意,批准,通过",,,
approximately,ə'prɔksimitli,ad.,ad.近似，大约,,,
apron,'eɪpr(ə)n,n.,n. （机场的）停机坪,,,
arbitrary,'ɑːrbətreri,a.,a. 随心所欲的，独裁的，专断的,,,
arch,ɑːtʃ,n.,n. 拱，拱门,,,
architect,'ɑːrkɪtekt,n.,n. 建筑师，设计师,,,
architecture,'ɑːkɪtektʃə,n.,n.建筑学，建筑设计，风格,,,
April,'eɪprəl,n.,n. 4月,,,
Arab,'ærəb,,* a. 阿拉伯的 n. 阿拉伯人,,,
Arabic,'ærəbik,a.,a. 阿拉伯语的 n. 阿拉伯语,,,
Arctic,'ɑːktɪk,a.,a. 北极的,,,
the Arctic,ˈɑːktɪk,,北极,,,
the Arctic Ocean,ˈɑːktɪk ˈəʊʃ(ə)n,,北冰洋,,,
are,ɑ:(r),v.,v.(be) 是,,,
area,'eərɪə,n.,n. 面积；地域，地方，区域；范围，领域,,,
argue,'ɑːrgjuː,vi.,vi. 争辩， 争论,,,
argument,'ɑːgjʊm(ə)nt,n.,n. 争论，辩论,,,
arise arose arisen,əˈraɪz,vi.,vi. 起来，升起；出现 【一般现在 过去式 过去分词】,,,
arithmetic,ə'rɪθmətɪk,n.,n. 算术,,,
arm,ɑːm,n.,"n. 臂,支架 v. 以…装备,武装起来n. （美）武器,武力",,,
armchair,ɑːm'tʃeə; 'ɑːm-,n.,n. 扶手椅,,,
army,'ɑːmɪ,n.,n. 军队,,,
around,ə'raʊnd,ad.,ad. 在周围；在附近prep. 在……周围；大约,,,
arrange,ə'reɪndʒ,v.,v. 安排，布置,,,
arrangement,ə'reɪn(d)ʒm(ə)nt,n.,n. 安排，布置,,,
arrest,ə'rest,v.,v. 逮捕，拘留,,,
arrival,ə'raɪv(ə)l,n.,n. 到来，到达,,,
arrive,ə'raɪv,vi.,vi. 到达；达到,,,
arrow,'ærəʊ,n.,n. 箭；箭头,,,
art,ɑːt,n.,n. 艺术，美术；技艺,,,
article,'ɑːtɪk(ə)l,n.,"n.文章;东西,物品;冠词",,,
artificial,ˌɑːrtɪ'fɪʃl,a.,a. 人工的，人造的,,,
artist,'ɑːtɪst,n.,n.艺术家,,,
as,æz; əz,ad.,ad.& conj.像……一样；如同；因为 prep. 作为，当做,,,
ash,æʃ,n.,n. 灰； 灰末,,,
ashamed,ə'ʃeɪmd,a.,a. 惭愧； 害臊,,,
Asia,ˈeɪʃə,,* n. 亚洲,,,
Asian,'eiʃən,a.,a. 亚洲（人）的n. 亚洲人,,,
aside,ə'saɪd,ad.,ad. 在旁边,,,
ask,ɑːsk,v.,v. 问；请求，要求；邀请,,,
asleep,ə'sliːp,a.,a. 睡着的，熟睡,,,
aspect,'æspekt,n.,n. 方面，外观，外表,,,
assess,ə'ses,v.,"v.评价,评定（性质,质量）",,,
assessment,ə'sesmənt,n.,n. 看法，评价,,,
assist,ə'sɪst,v.,v. 帮助，协助,,,
assistance,ə'sɪstəns,n.,n. 帮助，援助，支持,,,
assistant,ə'sɪstənt,n.,n. 助手，助理,,,
associate,ə'səʊʃɪeɪt; -sɪeɪt,v.,v. 联想，联系,,,
association,əsəʊsɪ'eɪʃ(ə)n; -ʃɪ-,n.,n. 协会，社团，联系,,,
assume,ə'suːm,v.,v. 假定，假设,,,
assumption,ə'sʌm(p)ʃ(ə)n,n.,n. 假定，假设,,,
astonish,ə'stɒnɪʃ,vt.,vt. 使惊讶,,,
astronaut,'æstrənɔːt,n.,n. 宇航员,,,
astronomer,ə'strɒnəmə,n.,n. 天文学家,,,
astronomy,ə'strɑːnəmi,n.,n. 天文学,,,
at,æt; ət,prep.,prep.在（几点钟）;在（某处）,,,
athlete,'æθliːt,n.,n. 运动员,,,
athletic,æθ'letɪk,a.,"a. 健壮的,体育运动的",,,
athletics,æθ'letɪks,n.,n. 田径,,,
Atlantic,æt'læntɪk,a.,a. 大西洋的,,,
the Atlantic Ocean,ətˈlæntɪk ˈəʊʃ(ə)n,,大西洋,,,
atmosphere,'ætməsfɪr,n.,n. 大气；气氛,,,
atom,'ætəm,n.,n. 原子，微粒,,,
attach,ə'tætʃ,v.,v. 把…固定，重视,,,
attack,ə'tæk,vt.,vt. / n. 攻击，袭击,,,
attain,ə'teɪn,v.,"v.（经过努力）获得,得到",,,
attempt,ə'tempt,vt.,vt. 试图，尝试,,,
attend,ə'tend,v.,v. 看护，照料，服侍；出席，参加,,,
attention,ə'tenʃ(ə)n,n.,n. 注意，关心,,,
attentively,ə'tentivli,ad.,ad. 注意地,,,
attitude,'ætɪtjuːd,n.,n. 态度，看法,,,
attract,ə'trækt,v.,v. 吸引，引起,,,
attraction,ə'trækʃ(ə)n,n.,n. 吸引，爱慕,,,
attractive,ə'træktɪv,a.,a. 迷人的，有吸引力的,,,
audience,'ɔːdiəns,n.,n. 观众，听众,,,
authentic,ɔː'θentɪk,a.,a. 真正的，真品的,,,
author,'ɔːθə,n.,n. 作者，作家,,,
authority,ə'θɔːrəti,n.,"n.权力,权威,威信,官方",,,
automatic,ˌɔːtə'mætɪk,a.,a. 自动的，机械的,,,
autonomous,ɔː'tɑːnəməs,a.,a. 自治的，自主的,,,
August,ˈɔːɡəst,n.,n. 8月,,,
aunt,ɑːnt,n.,n. 伯母；舅母；婶；姑；姨,,,
Australia,ɒ'streɪlɪə,,* n. 澳洲；澳大利亚,,,
Australian,ɔˈstreɪlɪən,a.,a. 澳洲的，澳大利亚人的 n. 澳大利亚人,,,
autumn,'ɔːtəm,n.,n. 秋天，秋季,,,
available,ə'veɪləbl,a.,a. 可获得的，有空的,,,
avenue,'ævənjuː,n.,n. 大道,,,
average,'ævərɪdʒ,a.,a.平均；普通的 n.平均数,,,
avoid,ə'vɒɪd,v.,v. 避免，躲开，逃避,,,
awake awoke awoken,əˈweɪk,v.,"v. 唤醒, adj. 醒着的 【一般现在 过去式 过去分词】",,,
award,ə'wɔːd,n.,n. 奖品，奖励,,,
aware,ə'wer,a.,a. 知道，意识到，发觉,,,
away,ə'weɪ,ad.,ad. 离开；远离,,,
awesome,'ɔːsəm,a.,"a.令人惊叹,很困难的",,,
awful,'ɔːfʊl,a.,a. 很坏的，极讨厌的,,,
awkward,'ɔːkwərd,a.,"a.令人尴尬,使人难堪的",,,
Baby,'beɪbɪ,n.,n. 婴儿,,,
bachelor,'bætʃələ,n.,n. 未婚男子，单身汉,,,
back,bæk,ad.,ad. 回（原处）；向后 a. 后面的 n. 背后，后部；背,,,
backache,'bækeɪk,n.,n. 背痛,,,
background,'bækgraʊnd,n.,n. 背景,,,
backward,'bækwəd,ad.,ad. 向后,,,
bacon,'beɪkən,n.,n. 咸猪肉；熏猪肉 ,,,
bacterium,bæk'tɪərɪəm,,(复bacteria) n. 细菌,,,
bad worse worst,bæd,adj.,adj. 坏的；有害的，不利的；严重的【比较级 最高级】,,,
badly,'bædlɪ,ad.,ad. 坏，恶劣地,,,
badminton,'bædmɪnt(ə)n,n.,n. 羽毛球,,,
bag,bæg,n.,n. 书包；提包；袋子,,,
baggage,'bægɪdʒ,n.,n. 行李,,,
bake,beɪk,v.,v. 烤； 烘（面包）,,,
bakery,'beɪk(ə)rɪ,n.,n. 面包店,,,
balance,'bæləns,n.,n. 平衡,,,
balcony,'bælkəni,n.,n. 阳台；楼座,,,
ball,bɔːl,n.,n. 球 n. 舞会,,,
ballet,'bæleɪ; -lɪ,n.,n. 芭蕾舞,,,
balloon,bə'luːn,n.,n. 气球,,,
ballpoint = ballpoint pen,"`bɔl,pɔɪnt",,圆珠笔,,,
bamboo,bæm'buː,n.,n. 竹,,,
ban,bæn,n.,n. 禁令 v. 禁止；取缔,,,
banana,bə'nɑːnə,n.,n. 香蕉,,,
band,bænd,n.,n. 乐队,,,
bandage,'bændɪdʒ,n.,n. 绷带,,,
bang,bæŋ,int.,int. 砰,,,
bank,bæŋk,n.,n. （河海湖的）岸，堤 n. 银行,,,
bank account,bæŋk əˈkaʊnt,n.,n. 银行账户,,,
bar,bɑː,n.,n. 条（长方）块，棒，横木 n.（酒店的）买酒柜台；酒吧；（卖东西的）柜台,,,
barbecue,'bɑːrbɪkjuː,n.,n. 烤肉野餐,,,
barber,'bɑːrbər,n.,n. （为男人理发）理发师,,,
barbershop,'bɑːbəʃɒp,n.,n. 理发店,,,
bare,ber,a.,a. 裸露的，光秃秃的,,,
bargain,'bɑːrgən,n.,n. （经讨价还价后）成交的商品；廉价货 v. 讨价还价,,,
bark,bɑːrk,v.,v. 狗叫 n. 狗叫声,,,
barrier,'bæriər,n.,n. 屏障，障碍，关卡,,,
base,beɪs,n.,n. 根据地，基地（棒球）垒,,,
baseball,'beɪsbɔːl,n.,n. 棒球,,,
basement,'beɪsmənt,n.,n. 地下室,,,
basic,'beɪsɪk,a.,a. 基本的,,,
basin,'beɪsn,n.,n. 水盆，脸盆,,,
basis,'beɪsɪs,n.,n. 原因，缘由，要素,,,
basket,'bɑːskɪt,n.,n. 篮子,,,
basketball,'bɑːskɪtbɔːl,n.,n. 篮球,,,
bat,bæt,n.,n. （棒球、板球的）球棒 n. 蝙蝠,,,
bath,bɑːθ,n.,n. 洗澡；浴室；澡盆,,,
bathe,beɪð,vi.,vi. 洗澡；游泳,,,
bathrobe,'bɑːθrəʊb,n.,n. 浴衣,,,
bathroom,'bɑːθruːm; -rʊm,n.,n. 浴室，盥洗室,,,
bathtub,'bɑːθtʌb,n.,n. 澡盆,,,
battery,'bætri,n.,n. 电池,,,
battle,'bæt(ə)l,n.,n. 战斗；战役,,,
battleground,ˈbæt(ə)lɡraʊnd,n.,n. 战场,,,
bay,beɪ,n.,n. 湾； 海湾,,,
BC,ˌbiːˈsiː,n.,n. 公元前,,,
be,biː,v.,"v. 是（原形）,其人称和时态形式有(am, is, are, was, were, being, been)；成为",,,
beach,biːtʃ,n.,n. 海滨，海滩,,,
beam,biːm,n.,n. 平衡木,,,
bean,biːn,n.,n. 豆，豆科植物,,,
beancurd,'bi:nkə:d,n.,n. 豆腐,,,
bear,beə,v.,v. 承受，负担，承担；忍受；容忍 n. 熊,,,
beard,bɪəd,n.,n. （下巴上的）胡须,,,
beast,biːst,n.,n. 野兽；牲畜,,,
beat beat beaten,biːt,v.,v. 敲打；跳动；打赢 n. （音乐）节拍 【一般现在 过去式 过去分词】,,,
beautiful,ˈbju:tɪfl,a.,a. 美，美丽，美观的,,,
beauty,'bjuːtɪ,n.,n. 美丽，美人,,,
because,bɪ'kɒz,conj.,conj. 因为,,,
become,bɪ'kʌm,v.,v. 变得；成为,,,
bed,bed,n.,n. 床,,,
bedclothes,'bedkləʊðz,n.,n. 铺盖（被褥等）,,,
beddings,'bedɪŋz,n.,n. 卧具，铺盖,,,
bedroom,'bedruːm; -rʊm,n.,n. 寝室，卧室,,,
bee,biː,n.,n.. 蜜蜂,,,
beef,biːf,n.,n. 牛肉,,,
beehive,'biːhaɪv,n.,n. 蜂箱,,,
beer,bɪə,n.,n. 啤酒,,,
before,bɪ'fɔː,prep.,prep. 在…以前；在…前面 ad. 以前 conj. 在…之前,,,
beg,beg,v.,v. 请求，乞求，乞讨 ,,,
begin began begun,bɪˈɡɪn,v.,"v.开始,着手【一般现在 过去式 过去分词】",,,
beginning,bɪ'gɪnɪŋ,n.,n. 开始，开端,,,
behalf,bɪ'hɑːf,n.,n. 代表某人，为了某人,,,
behave,bɪ'heɪv,v.,v. 守规矩，行为,,,
behaviour,bɪ'heɪvjə,n.,n. 行为，举止,,,
behind,bɪ'haɪnd,prep.,prep. (表示位置)在…后面 ad. 在后面；向后,,,
being,'biːɪŋ,n.,n. 物；生物；人,,,
Belgium,'bɛldʒəm,,* n. 比利时,,,
belief,bɪ'liːf,n.,n. 信条，信念,,,
believe,bɪ'liːv,v.,v. 相信，认为,,,
bell,bel,n.,"n. 钟,铃;钟(铃)声;钟形物",,,
belly,'belɪ,n.,n. 肚子,,,
belong,bɪ'lɒŋ,vi.,vi. 属，附属,,,
below,bɪ'ləʊ,prep.,prep. 在……下面,,,
belt,belt,n.,n. （皮）带,,,
bench,ben(t)ʃ,n.,n. 长凳；工作台,,,
bend bent bent,bend,adj.,adj. 弯曲的，变形的；vt. 使弯曲 【一般现在 过去式 过去分词】,,,
beneath,bɪ'niːθ,prep.,prep. 在…下方（面）,,,
beneficial,ˌbenɪ'fɪʃl,a.,a. 有利的，有帮助的，有用的,,,
benefit,'benɪfɪt,n.,"n. / v.优势,益处,使…受益",,,
bent,bent,a.,a. 弯的,,,
beside,bɪ'saɪd,prep.,prep. 在…旁边；靠近,,,
besides,bɪ'saɪdz,prep.,prep. 除…以外（还有） ad. 还有，此外,,,
best,best,a.,a. & ad.最好的；最好地，最 n. 最好的（人或物）,,,
bestseller,best'selə(r),n.,n. 畅销书,,,
better,'betə,a.,a.& ad. 较好的，更好的；好些； 更好地；更，更多n. 较好的事物；较优者 v. 改善；胜过,,,
betray,bɪ'treɪ,v.,"v.出卖,泄露（机密）,辜负",,,
between,bɪ'twiːn,prep.,prep. 在（两者）之间；在…中间,,,
beyond,bɪ'jɒnd,prep.,prep. (表示位置) 在…的那边,,,
bicycle,'baɪsɪkl,n.,n. 自行车,,,
bid,bɪd,v.,v./ n. 出价，投标，向（某人）道别,,,
big,bɪg,a.,a. 大的,,,
bike = bicycle,baɪk,n.,n. 自行车,,,
bill,bɪl,n.,n.账单；法案，议案； （美）钞票，纸币,,,
billion,'bɪljən,num.,num. 十亿，百亿,,,
